,Player2,Player1,Unnamed: 0,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Normalized_FSP.1,Unary_FSP.1,Normalized_FSW.1,Unary_FSW.1,Normalized_SSP.1,Unary_SSP.1,Normalized_SSW.1,Unary_SSW.1,Normalized_FSP.2,Unary_FSP.2,Normalized_SSP.2,Unary_SSP.2,Unary_SSW.2,FSP_diff,FSW_diff,"GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP_diff","GROUPBY_['Player1', 'Player2', 'Round']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSW_diff","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSW.1","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSW.2","GROUPBY_['Player1', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_sum_SSW.1","GROUPBY_['Player1', 'Round']_mean_FSP.1",Player1_vs_Player2_FSW_diff,Player1_vs_Player2_FSP_diff
30,Kenny De Schepper,Di Wu,30,1,0,60,46,40,29,62,63,38,20,0.4583333333333333,0.4583333333333333,0.4056603773584906,0.4056603773584906,0.5416666666666666,0.5416666666666666,0.5490196078431373,0.5576923076923077,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3508771929824561,-0.03225806451612903,-17,-0.03225806451612903,0.0,-17.0,29.0,40.0,0.0,20.0,40.0,29,60.0,-17,-2
31,Aleksandr Nedovyesov,Tomas Berdych,31,1,1,66,39,34,19,61,37,39,17,0.5833333333333334,0.5833333333333334,0.33962264150943394,0.33962264150943394,0.4166666666666667,0.4166666666666667,0.35294117647058826,0.36538461538461536,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.2982456140350877,0.08196721311475409,2,0.08196721311475409,1.0,2.0,19.0,34.0,1.0,17.0,34.0,19,66.0,2,5
32,Roger Federer,James Duckworth,32,1,0,52,36,48,19,58,40,42,19,0.2916666666666667,0.2916666666666667,0.3113207547169811,0.3113207547169811,0.7083333333333334,0.7083333333333334,0.35294117647058826,0.36538461538461536,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.3333333333333333,-0.10344827586206896,-4,-0.10344827586206896,0.0,-4.0,19.0,48.0,0.0,19.0,48.0,19,52.0,-4,-6
33,Blaz Kavcic,Radek Stepanek,33,1,0,51,37,49,29,63,43,37,22,0.2708333333333333,0.2708333333333333,0.32075471698113206,0.32075471698113206,0.7291666666666666,0.7291666666666666,0.5490196078431373,0.5576923076923077,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.38596491228070173,-0.19047619047619047,-6,-0.19047619047619047,0.0,-6.0,29.0,49.0,0.0,22.0,43.0,29,57.0,-6,-12
34,Sergiy Stakhovsky,Teymuraz Gabashvili,34,1,1,58,49,42,24,55,50,45,21,0.4166666666666667,0.4166666666666667,0.4339622641509434,0.4339622641509434,0.5833333333333334,0.5833333333333334,0.45098039215686275,0.46153846153846156,0.5913978494623656,0.5913978494623656,0.40860215053763443,0.40860215053763443,0.3684210526315789,0.05454545454545454,-1,0.05454545454545454,1.0,-1.0,24.0,42.0,1.0,21.0,42.0,24,58.0,-1,3
35,Ze Zhang,Fernando Verdasco,35,1,1,61,59,39,24,58,44,42,25,0.4791666666666667,0.4791666666666667,0.5283018867924528,0.5283018867924528,0.5208333333333334,0.5208333333333334,0.45098039215686275,0.46153846153846156,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.43859649122807015,0.05172413793103448,15,0.05172413793103448,1.0,15.0,24.0,39.0,1.0,25.0,38.666666666666664,24,61.333333333333336,15,3
36,Gilles Simon,Daniel Brands,36,1,0,63,109,37,36,56,114,44,57,0.5208333333333334,0.5208333333333334,1.0,1.0,0.4791666666666667,0.4791666666666667,0.6862745098039216,0.6923076923076923,0.6021505376344086,0.6021505376344086,0.3978494623655914,0.3978494623655914,1.0,0.125,-5,0.125,0.0,-5.0,36.0,37.0,0.0,57.0,39.0,36,61.0,-5,7
37,Marcel Granollers,Marin Cilic,37,1,1,58,57,42,30,61,64,39,27,0.4166666666666667,0.4166666666666667,0.5094339622641509,0.5094339622641509,0.5833333333333334,0.5833333333333334,0.5686274509803921,0.5769230769230769,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.47368421052631576,-0.04918032786885246,-7,-0.04918032786885246,1.0,-7.0,30.0,42.0,1.0,27.0,42.0,30,58.0,-7,-3
38,Julian Reister,Thomaz Bellucci,38,1,1,53,39,47,24,60,41,40,16,0.3125,0.3125,0.33962264150943394,0.33962264150943394,0.6875,0.6875,0.45098039215686275,0.46153846153846156,0.6451612903225806,0.6451612903225806,0.3548387096774194,0.3548387096774194,0.2807017543859649,-0.11666666666666667,-2,-0.11666666666666667,1.0,-2.0,24.0,47.0,1.0,16.0,47.0,24,53.0,-2,-7
39,Filippo Volandri,Jo-Wilfried Tsonga,39,1,1,62,37,38,23,57,35,43,20,0.5,0.5,0.32075471698113206,0.32075471698113206,0.5,0.5,0.43137254901960786,0.4423076923076923,0.6129032258064516,0.6129032258064516,0.3870967741935484,0.3870967741935484,0.3508771929824561,0.08771929824561403,2,0.08771929824561403,1.0,2.0,23.0,38.0,1.0,20.0,44.0,23,56.0,2,5
40,John Isner,Martin Klizan,40,1,1,54,25,46,21,78,36,22,6,0.3333333333333333,0.3333333333333333,0.20754716981132076,0.20754716981132076,0.6666666666666666,0.6666666666666666,0.39215686274509803,0.40384615384615385,0.8387096774193549,0.8387096774193549,0.16129032258064516,0.16129032258064516,0.10526315789473684,-0.3076923076923077,-11,-0.3076923076923077,1.0,-11.0,21.0,46.0,1.0,6.0,48.5,21,51.5,-11,-24
41,Federico Delbonis,Blaz Rola,41,1,1,68,57,32,13,63,38,37,16,0.625,0.625,0.5094339622641509,0.5094339622641509,0.375,0.375,0.23529411764705882,0.25,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.2807017543859649,0.07936507936507936,19,0.07936507936507936,1.0,19.0,13.0,32.0,1.0,16.0,32.0,13,68.0,19,5
42,Horacio Zeballos,Michal Przysiezny,42,1,1,69,48,31,17,60,43,40,18,0.6458333333333334,0.6458333333333334,0.42452830188679247,0.42452830188679247,0.3541666666666667,0.3541666666666667,0.3137254901960784,0.3269230769230769,0.6451612903225806,0.6451612903225806,0.3548387096774194,0.3548387096774194,0.3157894736842105,0.15,5,0.15,1.0,5.0,17.0,31.0,1.0,18.0,32.0,17,68.0,5,9
43,Aljaz Bedene,Stephane Robert,43,1,1,46,25,54,21,54,40,46,9,0.16666666666666666,0.16666666666666666,0.20754716981132076,0.20754716981132076,0.8333333333333334,0.8333333333333334,0.39215686274509803,0.40384615384615385,0.5806451612903226,0.5806451612903226,0.41935483870967744,0.41935483870967744,0.15789473684210525,-0.14814814814814814,-15,-0.14814814814814814,1.0,-15.0,21.0,54.0,1.0,9.0,46.5,21,53.5,-15,-8
44,Feliciano Lopez,Somdev Devvarman,44,1,0,52,34,48,28,65,50,35,18,0.2916666666666667,0.2916666666666667,0.29245283018867924,0.29245283018867924,0.7083333333333334,0.7083333333333334,0.5294117647058824,0.5384615384615384,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.3157894736842105,-0.2,-16,-0.2,0.0,-16.0,28.0,48.0,0.0,18.0,43.0,28,57.0,-16,-13
45,Michael Llodra,Michael Berrer,45,1,1,63,39,37,19,72,47,28,12,0.5208333333333334,0.5208333333333334,0.33962264150943394,0.33962264150943394,0.4791666666666667,0.4791666666666667,0.35294117647058826,0.36538461538461536,0.7741935483870968,0.7741935483870968,0.22580645161290322,0.22580645161290322,0.21052631578947367,-0.125,-8,-0.125,1.0,-8.0,19.0,37.0,1.0,12.0,37.0,19,63.0,-8,-9
46,Wayne Odesnik,Vincent Millot,46,1,1,57,63,43,34,67,67,33,22,0.3958333333333333,0.3958333333333333,0.5660377358490566,0.5660377358490566,0.6041666666666666,0.6041666666666666,0.6470588235294118,0.6538461538461539,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.38596491228070173,-0.14925373134328357,-4,-0.14925373134328357,1.0,-4.0,34.0,43.0,1.0,22.0,43.0,34,57.0,-4,-10
47,Go Soeda,Andy Murray,47,1,1,69,33,31,11,61,28,39,6,0.6458333333333334,0.6458333333333334,0.2830188679245283,0.2830188679245283,0.3541666666666667,0.3541666666666667,0.19607843137254902,0.21153846153846154,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.10526315789473684,0.13114754098360656,5,0.13114754098360656,1.0,5.0,11.0,31.0,1.0,6.0,38.333333333333336,11,61.666666666666664,5,8
48,Juan Martin Del Potro,Rhyne Williams,48,1,0,57,52,43,25,64,62,36,23,0.3958333333333333,0.3958333333333333,0.46226415094339623,0.46226415094339623,0.6041666666666666,0.6041666666666666,0.47058823529411764,0.4807692307692308,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.40350877192982454,-0.109375,-10,-0.109375,0.0,-10.0,25.0,43.0,0.0,23.0,44.0,25,56.0,-10,-7
49,Tim Smyczek,Roberto Bautista Agut,49,1,1,82,37,18,7,61,28,39,10,0.9166666666666666,0.9166666666666666,0.32075471698113206,0.32075471698113206,0.08333333333333333,0.08333333333333333,0.11764705882352941,0.1346153846153846,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.17543859649122806,0.3442622950819672,9,0.3442622950819672,1.0,9.0,7.0,18.0,1.0,10.0,24.5,7,75.5,9,21
50,Benjamin Becker,Nick Kyrgios,50,1,1,54,60,46,25,53,45,47,31,0.3333333333333333,0.3333333333333333,0.5377358490566038,0.5377358490566038,0.6666666666666666,0.6666666666666666,0.47058823529411764,0.4807692307692308,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.543859649122807,0.018867924528301886,15,0.018867924528301886,1.0,15.0,25.0,46.0,1.0,31.0,38.5,25,61.5,15,1
51,Frank Dancevic,Benoit Paire,51,1,1,57,54,43,22,59,47,41,20,0.3958333333333333,0.3958333333333333,0.4811320754716981,0.4811320754716981,0.6041666666666666,0.6041666666666666,0.4117647058823529,0.4230769230769231,0.6344086021505376,0.6344086021505376,0.3655913978494624,0.3655913978494624,0.3508771929824561,-0.03389830508474576,7,-0.03389830508474576,1.0,7.0,22.0,43.0,1.0,20.0,48.666666666666664,22,51.333333333333336,7,-2
52,Grigor Dimitrov,Bradley Klahn,52,1,0,58,54,42,28,57,55,43,30,0.4166666666666667,0.4166666666666667,0.4811320754716981,0.4811320754716981,0.5833333333333334,0.5833333333333334,0.5294117647058824,0.5384615384615384,0.6129032258064516,0.6129032258064516,0.3870967741935484,0.3870967741935484,0.5263157894736842,0.017543859649122806,-1,0.017543859649122806,0.0,-1.0,28.0,42.0,0.0,30.0,42.0,28,58.0,-1,1
53,Yen-Hsun Lu,Jimmy Wang,53,1,0,63,32,37,12,62,33,38,11,0.5208333333333334,0.5208333333333334,0.27358490566037735,0.27358490566037735,0.4791666666666667,0.4791666666666667,0.21568627450980393,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.19298245614035087,0.016129032258064516,-1,0.016129032258064516,0.0,-1.0,12.0,37.0,0.0,11.0,37.0,12,63.0,-1,1
54,Victor Hanescu,Peter Gojowczyk,54,1,0,55,44,45,22,66,60,34,23,0.3541666666666667,0.3541666666666667,0.3867924528301887,0.3867924528301887,0.6458333333333334,0.6458333333333334,0.4117647058823529,0.4230769230769231,0.7096774193548387,0.7096774193548387,0.2903225806451613,0.2903225806451613,0.40350877192982454,-0.16666666666666666,-16,-0.16666666666666666,0.0,-16.0,22.0,45.0,0.0,23.0,45.0,22,55.0,-16,-11
55,Daniel Gimeno-Traver,Milos Raonic,55,1,1,64,56,36,17,56,43,44,25,0.5416666666666666,0.5416666666666666,0.5,0.5,0.4583333333333333,0.4583333333333333,0.3137254901960784,0.3269230769230769,0.6021505376344086,0.6021505376344086,0.3978494623655914,0.3978494623655914,0.43859649122807015,0.14285714285714285,13,0.14285714285714285,1.0,13.0,17.0,36.0,1.0,25.0,31.5,17,68.5,13,8
56,Kei Nishikori,Marinko Matosevic,56,1,0,61,69,39,29,66,68,34,25,0.4791666666666667,0.4791666666666667,0.6226415094339622,0.6226415094339622,0.5208333333333334,0.5208333333333334,0.5490196078431373,0.5576923076923077,0.7096774193548387,0.7096774193548387,0.2903225806451613,0.2903225806451613,0.43859649122807015,-0.07575757575757576,1,-0.07575757575757576,0.0,1.0,29.0,39.0,0.0,25.0,40.0,29,60.0,1,-5
57,Lucas Pouille,Dusan Lajovic,57,1,1,61,53,39,30,61,55,39,22,0.4791666666666667,0.4791666666666667,0.4716981132075472,0.4716981132075472,0.5208333333333334,0.5208333333333334,0.5686274509803921,0.5769230769230769,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.38596491228070173,0.0,-2,0.0,1.0,-2.0,30.0,39.0,1.0,22.0,39.0,30,61.0,-2,0
58,Donald Young,Robin Haase,58,1,0,67,56,33,18,73,58,27,16,0.6041666666666666,0.6041666666666666,0.5,0.5,0.3958333333333333,0.3958333333333333,0.3333333333333333,0.34615384615384615,0.7849462365591398,0.7849462365591398,0.21505376344086022,0.21505376344086022,0.2807017543859649,-0.0821917808219178,-2,-0.0821917808219178,0.0,-2.0,18.0,33.0,0.0,16.0,37.5,18,62.5,-2,-6
