,Player2,Player1,Unnamed: 0,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Unary_SSP.1,Unary_SSW.1,Unary_SSP.2,FSP_diff,FSW_diff,SSW_diff,FSP_ratio,Total_serve_percentage_1,Total_won_serves_1,Total_serve_percentage_2,GROUPBY_['Round']_mean_FSP_diff,"GROUPBY_['Player1', 'Player2']_mean_FSP_diff","GROUPBY_['Player1', 'Player2']_mean_SSW_diff",GROUPBY_['Round']_mean_Total_won_serves_1,"GROUPBY_['Player1', 'Player2']_max_Round","GROUPBY_['Player1', 'Player2']_max_FSP.1","GROUPBY_['Player1', 'Player2']_count_Round","GROUPBY_['Player1', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP_ratio",Player1_has_high_FSW
10,Julien Benneteau,Pablo Carreno Busta,10,1,0,53,46,47,35,66,62,34,24,0.6875,0.6730769230769231,0.2903225806451613,-13,-16,11,0.803030303030303,2.127659574468085,81,100,0.5652985074626866,-13.0,11.0,57.115671641791046,1,53,1,47.0,0.0,47.0,0.803030303030303,0
11,Lukas Rosol,Tommy Robredo,11,1,1,57,62,43,43,51,72,49,41,0.6041666666666666,0.8269230769230769,0.45161290322580644,6,-10,2,1.1176470588235294,2.3255813953488373,105,100,0.5652985074626866,6.0,2.0,57.115671641791046,1,57,1,42.6,1.0,43.0,1.1176470588235294,0
12,Vasek Pospisil,Samuel Groth,12,1,0,65,40,35,17,67,45,33,13,0.4375,0.3269230769230769,0.27956989247311825,-2,-5,4,0.9701492537313433,2.857142857142857,57,100,0.5652985074626866,-2.0,4.0,57.115671641791046,1,65,1,35.0,0.0,35.0,0.9701492537313433,0
13,Matthew Ebden,Nicolas Mahut,13,1,0,64,63,36,23,67,58,33,23,0.4583333333333333,0.4423076923076923,0.27956989247311825,-3,5,0,0.9552238805970149,2.7777777777777777,86,100,0.5652985074626866,-3.0,0.0,57.115671641791046,1,64,1,36.5,0.0,36.0,0.9552238805970149,1
14,Mikhail Kukushkin,Alejandro Falla,14,1,1,60,50,40,23,55,55,45,23,0.5416666666666666,0.4423076923076923,0.40860215053763443,5,-5,0,1.0909090909090908,2.5,73,100,0.5652985074626866,5.0,0.0,57.115671641791046,1,60,1,43.0,1.0,40.0,1.0909090909090908,0
15,Andrey Golubev,Stanislas Wawrinka,15,1,1,63,20,37,6,64,18,36,10,0.4791666666666667,0.11538461538461539,0.3118279569892473,-1,2,-4,0.984375,2.7027027027027026,26,100,0.5652985074626866,-1.0,-4.0,57.115671641791046,1,63,1,41.166666666666664,1.0,37.0,0.984375,1
16,David Ferrer,Alejandro Gonzalez,16,1,0,68,34,32,7,53,28,47,21,0.375,0.1346153846153846,0.43010752688172044,15,6,-14,1.2830188679245282,3.125,41,100,0.5652985074626866,15.0,-14.0,57.115671641791046,1,68,1,32.0,0.0,32.0,1.2830188679245282,1
17,Adrian Mannarino,Steve Johnson,17,1,0,53,50,47,28,58,52,42,37,0.6875,0.5384615384615384,0.3763440860215054,-5,-2,-9,0.9137931034482759,2.127659574468085,78,100,0.5652985074626866,-5.0,-9.0,57.115671641791046,1,53,1,46.0,0.0,47.0,0.9137931034482759,0
18,Alexandr Dolgopolov,Ricardas Berankis,18,1,0,50,39,50,26,58,42,42,23,0.75,0.5,0.3763440860215054,-8,-3,3,0.8620689655172413,2.0,65,100,0.5652985074626866,-8.0,3.0,57.115671641791046,1,50,1,50.0,0.0,50.0,0.8620689655172413,0
19,Jesse Huta Galung,Jeremy Chardy,19,1,1,66,46,34,16,57,41,43,13,0.4166666666666667,0.3076923076923077,0.3870967741935484,9,5,3,1.1578947368421053,2.9411764705882355,62,100,0.5652985074626866,9.0,3.0,57.115671641791046,1,66,1,34.0,1.0,34.0,1.1578947368421053,1
20,Jerzy Janowicz,Jordan Thompson,20,1,0,60,58,40,21,64,74,36,27,0.5416666666666666,0.40384615384615385,0.3118279569892473,-4,-16,-6,0.9375,2.5,79,100,0.5652985074626866,-4.0,-6.0,57.115671641791046,1,60,1,40.0,0.0,40.0,0.9375,0
21,Pablo Andujar,Albert Ramos,21,1,0,61,32,39,10,73,40,27,15,0.5208333333333334,0.19230769230769232,0.21505376344086022,-12,-8,-5,0.8356164383561644,2.5641025641025643,42,100,0.5652985074626866,-12.0,-5.0,57.115671641791046,1,61,1,41.0,0.0,39.0,0.8356164383561644,0
22,Denis Kudla,Florian Mayer,22,1,1,58,36,42,22,59,35,41,18,0.5833333333333334,0.4230769230769231,0.3655913978494624,-1,1,4,0.9830508474576272,2.380952380952381,58,100,0.5652985074626866,-1.0,4.0,57.115671641791046,1,58,1,39.333333333333336,1.0,42.0,0.9830508474576272,1
23,Jan-Lennard Struff,Mikhail Youzhny,23,1,1,69,39,31,17,49,24,51,12,0.3541666666666667,0.3269230769230769,0.4731182795698925,20,15,5,1.4081632653061225,3.225806451612903,56,100,0.5652985074626866,20.0,5.0,57.115671641791046,1,69,1,35.666666666666664,1.0,31.0,1.4081632653061225,1
24,Tommy Haas,Guillermo Garcia-Lopez,24,1,1,58,27,42,11,52,22,48,11,0.5833333333333334,0.21153846153846154,0.44086021505376344,6,5,0,1.1153846153846154,2.380952380952381,38,100,0.5652985074626866,6.0,0.0,57.115671641791046,1,58,1,47.0,1.0,42.0,1.1153846153846154,1
25,Edouard Roger-Vasselin,Carlos Berlocq,25,1,0,57,49,43,32,65,67,35,32,0.6041666666666666,0.6153846153846154,0.3010752688172043,-8,-18,0,0.8769230769230769,2.3255813953488373,81,100,0.5652985074626866,-8.0,0.0,57.115671641791046,1,57,1,35.0,0.0,43.0,0.8769230769230769,0
26,Joao Sousa,Dominic Thiem,26,1,1,55,60,45,31,65,57,35,30,0.6458333333333334,0.5961538461538461,0.3010752688172043,-10,3,1,0.8461538461538461,2.2222222222222223,91,100,0.5652985074626866,-10.0,1.0,57.115671641791046,1,55,1,45.0,1.0,45.0,0.8461538461538461,1
27,Jiri Vesely,Kevin Anderson,27,1,1,63,76,37,28,57,69,43,43,0.4791666666666667,0.5384615384615384,0.3870967741935484,6,7,-15,1.105263157894737,2.7027027027027026,104,100,0.5652985074626866,6.0,-15.0,57.115671641791046,1,63,1,37.0,1.0,37.0,1.105263157894737,1
28,Ivan Dodig,Ivo Karlovic,28,1,0,66,55,34,18,83,68,17,12,0.4166666666666667,0.34615384615384615,0.10752688172043011,-17,-13,6,0.7951807228915663,2.9411764705882355,73,100,0.5652985074626866,-17.0,6.0,57.115671641791046,1,66,1,34.0,0.0,34.0,0.7951807228915663,0
29,Damir Dzumhur,Jan Hajek,29,1,0,73,31,27,6,53,31,47,19,0.2708333333333333,0.11538461538461539,0.43010752688172044,20,0,-13,1.3773584905660377,3.7037037037037037,37,100,0.5652985074626866,20.0,-13.0,57.115671641791046,1,73,1,28.5,0.0,27.0,1.3773584905660377,0
30,Kenny De Schepper,Di Wu,30,1,0,60,46,40,29,62,63,38,20,0.5416666666666666,0.5576923076923077,0.3333333333333333,-2,-17,9,0.967741935483871,2.5,75,100,0.5652985074626866,-2.0,9.0,57.115671641791046,1,60,1,40.0,0.0,40.0,0.967741935483871,0
31,Aleksandr Nedovyesov,Tomas Berdych,31,1,1,66,39,34,19,61,37,39,17,0.4166666666666667,0.36538461538461536,0.34408602150537637,5,2,2,1.0819672131147542,2.9411764705882355,58,100,0.5652985074626866,5.0,2.0,57.115671641791046,1,66,1,34.0,1.0,34.0,1.0819672131147542,1
32,Roger Federer,James Duckworth,32,1,0,52,36,48,19,58,40,42,19,0.7083333333333334,0.36538461538461536,0.3763440860215054,-6,-4,0,0.896551724137931,2.0833333333333335,55,100,0.5652985074626866,-6.0,0.0,57.115671641791046,1,52,1,48.0,0.0,48.0,0.896551724137931,0
33,Blaz Kavcic,Radek Stepanek,33,1,0,51,37,49,29,63,43,37,22,0.7291666666666666,0.5576923076923077,0.3225806451612903,-12,-6,7,0.8095238095238095,2.0408163265306123,66,100,0.5652985074626866,-12.0,7.0,57.115671641791046,1,51,1,43.0,0.0,49.0,0.8095238095238095,0
34,Sergiy Stakhovsky,Teymuraz Gabashvili,34,1,1,58,49,42,24,55,50,45,21,0.5833333333333334,0.46153846153846156,0.40860215053763443,3,-1,3,1.0545454545454545,2.380952380952381,73,100,0.5652985074626866,3.0,3.0,57.115671641791046,1,58,1,42.0,1.0,42.0,1.0545454545454545,0
35,Ze Zhang,Fernando Verdasco,35,1,1,61,59,39,24,58,44,42,25,0.5208333333333334,0.46153846153846156,0.3763440860215054,3,15,-1,1.0517241379310345,2.5641025641025643,83,100,0.5652985074626866,3.0,-1.0,57.115671641791046,1,61,1,38.666666666666664,1.0,39.0,1.0517241379310345,1
36,Gilles Simon,Daniel Brands,36,1,0,63,109,37,36,56,114,44,57,0.4791666666666667,0.6923076923076923,0.3978494623655914,7,-5,-21,1.125,2.7027027027027026,145,100,0.5652985074626866,7.0,-21.0,57.115671641791046,1,63,1,39.0,0.0,37.0,1.125,0
37,Marcel Granollers,Marin Cilic,37,1,1,58,57,42,30,61,64,39,27,0.5833333333333334,0.5769230769230769,0.34408602150537637,-3,-7,3,0.9508196721311475,2.380952380952381,87,100,0.5652985074626866,-3.0,3.0,57.115671641791046,1,58,1,42.0,1.0,42.0,0.9508196721311475,0
38,Julian Reister,Thomaz Bellucci,38,1,1,53,39,47,24,60,41,40,16,0.6875,0.46153846153846156,0.3548387096774194,-7,-2,8,0.8833333333333333,2.127659574468085,63,100,0.5652985074626866,-7.0,8.0,57.115671641791046,1,53,1,47.0,1.0,47.0,0.8833333333333333,0
39,Filippo Volandri,Jo-Wilfried Tsonga,39,1,1,62,37,38,23,57,35,43,20,0.5,0.4423076923076923,0.3870967741935484,5,2,3,1.087719298245614,2.6315789473684212,60,100,0.5652985074626866,5.0,3.0,57.115671641791046,1,62,1,44.0,1.0,38.0,1.087719298245614,1
40,John Isner,Martin Klizan,40,1,1,54,25,46,21,78,36,22,6,0.6666666666666666,0.40384615384615385,0.16129032258064516,-24,-11,15,0.6923076923076923,2.1739130434782608,46,100,0.5652985074626866,-24.0,15.0,57.115671641791046,1,54,1,48.5,1.0,46.0,0.6923076923076923,0
41,Federico Delbonis,Blaz Rola,41,1,1,68,57,32,13,63,38,37,16,0.375,0.25,0.3225806451612903,5,19,-3,1.0793650793650793,3.125,70,100,0.5652985074626866,5.0,-3.0,57.115671641791046,1,68,1,32.0,1.0,32.0,1.0793650793650793,1
42,Horacio Zeballos,Michal Przysiezny,42,1,1,69,48,31,17,60,43,40,18,0.3541666666666667,0.3269230769230769,0.3548387096774194,9,5,-1,1.15,3.225806451612903,65,100,0.5652985074626866,9.0,-1.0,57.115671641791046,1,69,1,32.0,1.0,31.0,1.15,1
43,Aljaz Bedene,Stephane Robert,43,1,1,46,25,54,21,54,40,46,9,0.8333333333333334,0.40384615384615385,0.41935483870967744,-8,-15,12,0.8518518518518519,1.8518518518518519,46,100,0.5652985074626866,-8.0,12.0,57.115671641791046,1,46,1,46.5,1.0,54.0,0.8518518518518519,0
44,Feliciano Lopez,Somdev Devvarman,44,1,0,52,34,48,28,65,50,35,18,0.7083333333333334,0.5384615384615384,0.3010752688172043,-13,-16,10,0.8,2.0833333333333335,62,100,0.5652985074626866,-13.0,10.0,57.115671641791046,1,52,1,43.0,0.0,48.0,0.8,0
45,Michael Llodra,Michael Berrer,45,1,1,63,39,37,19,72,47,28,12,0.4791666666666667,0.36538461538461536,0.22580645161290322,-9,-8,7,0.875,2.7027027027027026,58,100,0.5652985074626866,-9.0,7.0,57.115671641791046,1,63,1,37.0,1.0,37.0,0.875,0
46,Wayne Odesnik,Vincent Millot,46,1,1,57,63,43,34,67,67,33,22,0.6041666666666666,0.6538461538461539,0.27956989247311825,-10,-4,12,0.8507462686567164,2.3255813953488373,97,100,0.5652985074626866,-10.0,12.0,57.115671641791046,1,57,1,43.0,1.0,43.0,0.8507462686567164,0
47,Go Soeda,Andy Murray,47,1,1,69,33,31,11,61,28,39,6,0.3541666666666667,0.21153846153846154,0.34408602150537637,8,5,5,1.1311475409836065,3.225806451612903,44,100,0.5652985074626866,8.0,5.0,57.115671641791046,1,69,1,38.333333333333336,1.0,31.0,1.1311475409836065,1
48,Juan Martin Del Potro,Rhyne Williams,48,1,0,57,52,43,25,64,62,36,23,0.6041666666666666,0.4807692307692308,0.3118279569892473,-7,-10,2,0.890625,2.3255813953488373,77,100,0.5652985074626866,-7.0,2.0,57.115671641791046,1,57,1,44.0,0.0,43.0,0.890625,0
49,Tim Smyczek,Roberto Bautista Agut,49,1,1,82,37,18,7,61,28,39,10,0.08333333333333333,0.1346153846153846,0.34408602150537637,21,9,-3,1.3442622950819672,5.555555555555555,44,100,0.5652985074626866,21.0,-3.0,57.115671641791046,1,82,1,24.5,1.0,18.0,1.3442622950819672,1
50,Benjamin Becker,Nick Kyrgios,50,1,1,54,60,46,25,53,45,47,31,0.6666666666666666,0.4807692307692308,0.43010752688172044,1,15,-6,1.0188679245283019,2.1739130434782608,85,100,0.5652985074626866,1.0,-6.0,57.115671641791046,1,54,1,38.5,1.0,46.0,1.0188679245283019,1
51,Frank Dancevic,Benoit Paire,51,1,1,57,54,43,22,59,47,41,20,0.6041666666666666,0.4230769230769231,0.3655913978494624,-2,7,2,0.9661016949152542,2.3255813953488373,76,100,0.5652985074626866,-2.0,2.0,57.115671641791046,1,57,1,48.666666666666664,1.0,43.0,0.9661016949152542,1
52,Grigor Dimitrov,Bradley Klahn,52,1,0,58,54,42,28,57,55,43,30,0.5833333333333334,0.5384615384615384,0.3870967741935484,1,-1,-2,1.0175438596491229,2.380952380952381,82,100,0.5652985074626866,1.0,-2.0,57.115671641791046,1,58,1,42.0,0.0,42.0,1.0175438596491229,0
53,Yen-Hsun Lu,Jimmy Wang,53,1,0,63,32,37,12,62,33,38,11,0.4791666666666667,0.23076923076923078,0.3333333333333333,1,-1,1,1.0161290322580645,2.7027027027027026,44,100,0.5652985074626866,1.0,1.0,57.115671641791046,1,63,1,37.0,0.0,37.0,1.0161290322580645,0
54,Victor Hanescu,Peter Gojowczyk,54,1,0,55,44,45,22,66,60,34,23,0.6458333333333334,0.4230769230769231,0.2903225806451613,-11,-16,-1,0.8333333333333334,2.2222222222222223,66,100,0.5652985074626866,-11.0,-1.0,57.115671641791046,1,55,1,45.0,0.0,45.0,0.8333333333333334,0
55,Daniel Gimeno-Traver,Milos Raonic,55,1,1,64,56,36,17,56,43,44,25,0.4583333333333333,0.3269230769230769,0.3978494623655914,8,13,-8,1.1428571428571428,2.7777777777777777,73,100,0.5652985074626866,8.0,-8.0,57.115671641791046,1,64,1,31.5,1.0,36.0,1.1428571428571428,1
56,Kei Nishikori,Marinko Matosevic,56,1,0,61,69,39,29,66,68,34,25,0.5208333333333334,0.5576923076923077,0.2903225806451613,-5,1,4,0.9242424242424242,2.5641025641025643,98,100,0.5652985074626866,-5.0,4.0,57.115671641791046,1,61,1,40.0,0.0,39.0,0.9242424242424242,1
57,Lucas Pouille,Dusan Lajovic,57,1,1,61,53,39,30,61,55,39,22,0.5208333333333334,0.5769230769230769,0.34408602150537637,0,-2,8,1.0,2.5641025641025643,83,100,0.5652985074626866,0.0,8.0,57.115671641791046,1,61,1,39.0,1.0,39.0,1.0,0
58,Donald Young,Robin Haase,58,1,0,67,56,33,18,73,58,27,16,0.3958333333333333,0.34615384615384615,0.21505376344086022,-6,-2,2,0.9178082191780822,3.0303030303030303,74,100,0.5652985074626866,-6.0,2.0,57.115671641791046,1,67,1,37.5,0.0,33.0,0.9178082191780822,0
59,Lleyton Hewitt,Andreas Seppi,59,1,1,59,72,41,40,51,76,49,38,0.5625,0.7692307692307693,0.45161290322580644,8,-4,2,1.1568627450980393,2.4390243902439024,112,100,0.5652985074626866,8.0,2.0,57.115671641791046,1,59,1,40.4,1.0,41.0,1.1568627450980393,0
60,Gael Monfils,Ryan Harrison,60,1,0,62,42,38,17,64,43,36,18,0.5,0.3269230769230769,0.3118279569892473,-2,-1,-1,0.96875,2.6315789473684212,59,100,0.5652985074626866,-2.0,-1.0,57.115671641791046,1,62,1,38.0,0.0,38.0,0.96875,0
61,Jack Sock,Tobias Kamke,61,1,0,49,51,51,36,50,54,50,43,0.7708333333333334,0.6923076923076923,0.46236559139784944,-1,-3,-7,0.98,1.9607843137254901,87,100,0.5652985074626866,-1.0,-7.0,57.115671641791046,1,49,1,47.5,0.0,51.0,0.98,0
62,Igor Sijsling,Thanasi Kokkinakis,62,1,1,54,55,46,36,59,56,41,23,0.6666666666666666,0.6923076923076923,0.3655913978494624,-5,-1,13,0.9152542372881356,2.1739130434782608,91,100,0.5652985074626866,-5.0,13.0,57.115671641791046,1,54,1,46.0,1.0,46.0,0.9152542372881356,0
63,Bernard Tomic,Rafael Nadal,63,1,1,62,14,38,6,71,15,29,3,0.5,0.11538461538461539,0.23655913978494625,-9,-1,3,0.8732394366197183,2.6315789473684212,20,100,0.5652985074626866,-9.0,3.0,57.115671641791046,1,62,1,27.0,1.0,38.0,0.8732394366197183,0
64,Novak Djokovic,Leonardo Mayer,64,2,0,52,28,48,17,66,36,34,17,0.7083333333333334,0.3269230769230769,0.2903225806451613,-14,-8,0,0.7878787878787878,2.0833333333333335,45,100,-0.4467005076142132,-14.0,0.0,54.19796954314721,2,52,1,48.0,0.0,48.0,0.7878787878787878,0
65,Denis Istomin,Dmitry Tursunov,65,2,0,53,45,47,26,54,47,46,36,0.6875,0.5,0.41935483870967744,-1,-2,-10,0.9814814814814815,2.127659574468085,71,100,-0.4467005076142132,-1.0,-10.0,54.19796954314721,2,53,1,44.0,0.0,47.0,0.9814814814814815,0
66,Ernests Gulbis,Sam Querrey,66,2,1,72,45,28,11,46,23,54,21,0.2916666666666667,0.21153846153846154,0.5053763440860215,26,22,-10,1.565217391304348,3.5714285714285716,56,100,-0.4467005076142132,26.0,-10.0,54.19796954314721,2,72,1,28.0,1.0,28.0,1.565217391304348,1
67,Jarkko Nieminen,Fabio Fognini,67,2,1,58,62,42,30,65,57,35,23,0.5833333333333334,0.5769230769230769,0.3010752688172043,-7,5,7,0.8923076923076924,2.380952380952381,92,100,-0.4467005076142132,-7.0,7.0,54.19796954314721,2,58,1,42.0,1.0,42.0,0.8923076923076924,1
68,Richard Gasquet,Nikolay Davydenko,68,2,0,77,48,23,11,58,41,42,21,0.1875,0.21153846153846154,0.3763440860215054,19,7,-10,1.3275862068965518,4.3478260869565215,59,100,-0.4467005076142132,13.5,-10.0,54.19796954314721,3,77,2,23.0,0.0,23.0,1.3275862068965518,1
69,Julien Benneteau,Tommy Robredo,69,2,1,58,61,42,38,62,68,38,27,0.5833333333333334,0.7307692307692307,0.3333333333333333,-4,-7,11,0.9354838709677419,2.380952380952381,99,100,-0.4467005076142132,-4.0,11.0,54.19796954314721,2,58,1,42.0,1.0,42.0,0.9354838709677419,0
70,Vasek Pospisil,Matthew Ebden,70,2,0,68,64,32,19,60,59,40,31,0.375,0.36538461538461536,0.3548387096774194,8,5,-12,1.1333333333333333,3.125,83,100,-0.4467005076142132,8.0,-12.0,54.19796954314721,2,68,1,32.0,0.0,32.0,1.1333333333333333,1
71,Alejandro Falla,Stanislas Wawrinka,71,2,1,56,57,44,31,60,56,40,25,0.625,0.5961538461538461,0.3548387096774194,-4,1,6,0.9333333333333333,2.272727272727273,88,100,-0.4467005076142132,-4.0,6.0,54.19796954314721,2,56,1,39.0,1.0,44.0,0.9333333333333333,1
72,David Ferrer,Adrian Mannarino,72,2,0,55,44,45,25,68,56,32,18,0.6458333333333334,0.4807692307692308,0.26881720430107525,-13,-12,7,0.8088235294117647,2.2222222222222223,69,100,-0.4467005076142132,-13.0,7.0,54.19796954314721,2,55,1,45.0,0.0,45.0,0.8088235294117647,0
73,Alexandr Dolgopolov,Jeremy Chardy,73,2,1,60,74,40,30,71,81,29,22,0.5416666666666666,0.5769230769230769,0.23655913978494625,-11,-7,8,0.8450704225352113,2.5,104,100,-0.4467005076142132,-11.0,8.0,54.19796954314721,2,60,1,40.0,1.0,40.0,0.8450704225352113,0
74,Jerzy Janowicz,Pablo Andujar,74,2,0,79,71,21,20,67,76,33,25,0.14583333333333334,0.38461538461538464,0.27956989247311825,12,-5,-5,1.1791044776119404,4.761904761904762,91,100,-0.4467005076142132,12.0,-5.0,54.19796954314721,2,79,1,21.0,0.0,21.0,1.1791044776119404,0
75,Florian Mayer,Mikhail Youzhny,75,2,0,55,55,45,36,60,59,40,33,0.6458333333333334,0.6923076923076923,0.3548387096774194,-5,-4,3,0.9166666666666666,2.2222222222222223,91,100,-0.4467005076142132,-5.0,3.0,54.19796954314721,2,55,1,38.0,0.0,45.0,0.9166666666666666,0
76,Guillermo Garcia-Lopez,Edouard Roger-Vasselin,76,2,1,57,49,43,28,51,46,49,26,0.6041666666666666,0.5384615384615384,0.45161290322580644,6,3,2,1.1176470588235294,2.3255813953488373,77,100,-0.4467005076142132,6.0,2.0,54.19796954314721,2,57,1,43.0,1.0,43.0,1.1176470588235294,1
77,Dominic Thiem,Kevin Anderson,77,2,1,65,43,35,18,59,34,41,16,0.4375,0.34615384615384615,0.3655913978494624,6,9,2,1.1016949152542372,2.857142857142857,61,100,-0.4467005076142132,6.0,2.0,54.19796954314721,2,65,1,35.0,1.0,35.0,1.1016949152542372,1
78,Ivan Dodig,Damir Dzumhur,78,2,0,51,36,49,26,55,39,45,20,0.7291666666666666,0.5,0.40860215053763443,-4,-3,6,0.9272727272727272,2.0408163265306123,62,100,-0.4467005076142132,-4.0,6.0,54.19796954314721,2,51,1,49.0,0.0,49.0,0.9272727272727272,0
79,Kenny De Schepper,Tomas Berdych,79,2,1,64,37,36,15,63,33,37,10,0.4583333333333333,0.28846153846153844,0.3225806451612903,1,4,5,1.0158730158730158,2.7777777777777777,52,100,-0.4467005076142132,1.0,5.0,54.19796954314721,2,64,1,36.0,1.0,36.0,1.0158730158730158,1
80,Roger Federer,Blaz Kavcic,80,2,0,62,32,38,18,76,45,24,9,0.5,0.34615384615384615,0.1827956989247312,-14,-13,9,0.8157894736842105,2.6315789473684212,50,100,-0.4467005076142132,-14.0,9.0,54.19796954314721,2,62,1,38.0,0.0,38.0,0.8157894736842105,0
81,Teymuraz Gabashvili,Fernando Verdasco,81,2,0,60,67,40,34,68,62,32,26,0.5416666666666666,0.6538461538461539,0.26881720430107525,-8,5,8,0.8823529411764706,2.5,101,100,-0.4467005076142132,-8.0,8.0,54.19796954314721,2,60,1,41.0,0.0,40.0,0.8823529411764706,1
82,Gilles Simon,Marin Cilic,82,2,0,50,50,50,32,49,65,51,41,0.75,0.6153846153846154,0.4731182795698925,1,-15,-9,1.0204081632653061,2.0,82,100,-0.4467005076142132,1.0,-9.0,54.19796954314721,2,50,1,50.0,0.0,50.0,1.0204081632653061,0
83,Thomaz Bellucci,Jo-Wilfried Tsonga,83,2,1,64,51,36,18,45,31,55,34,0.4583333333333333,0.34615384615384615,0.5161290322580645,19,20,-16,1.4222222222222223,2.7777777777777777,69,100,-0.4467005076142132,19.0,-16.0,54.19796954314721,2,64,1,35.5,1.0,36.0,1.4222222222222223,1
84,Martin Klizan,Blaz Rola,84,2,0,63,66,37,24,58,49,42,34,0.4791666666666667,0.46153846153846156,0.3763440860215054,5,17,-10,1.0862068965517242,2.7027027027027026,90,100,-0.4467005076142132,5.0,-10.0,54.19796954314721,2,63,1,37.0,0.0,37.0,1.0862068965517242,1
85,Michal Przysiezny,Stephane Robert,85,2,1,58,56,42,30,58,50,42,24,0.5833333333333334,0.5769230769230769,0.3763440860215054,0,6,6,1.0,2.380952380952381,86,100,-0.4467005076142132,0.0,6.0,54.19796954314721,2,58,1,42.0,1.0,42.0,1.0,1
