,Player1,Player2,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2
45,Michael Berrer,Michael Llodra,1,1,63,39,37,19,72,47,28,12
46,Vincent Millot,Wayne Odesnik,1,1,57,63,43,34,67,67,33,22
47,Andy Murray,Go Soeda,1,1,69,33,31,11,61,28,39,6
48,Rhyne Williams,Juan Martin Del Potro,1,0,57,52,43,25,64,62,36,23
49,Roberto Bautista Agut,Tim Smyczek,1,1,82,37,18,7,61,28,39,10
50,Nick Kyrgios,Benjamin Becker,1,1,54,60,46,25,53,45,47,31
51,Benoit Paire,Frank Dancevic,1,1,57,54,43,22,59,47,41,20
52,Bradley Klahn,Grigor Dimitrov,1,0,58,54,42,28,57,55,43,30
53,Jimmy Wang,Yen-Hsun Lu,1,0,63,32,37,12,62,33,38,11
54,Peter Gojowczyk,Victor Hanescu,1,0,55,44,45,22,66,60,34,23
55,Milos Raonic,Daniel Gimeno-Traver,1,1,64,56,36,17,56,43,44,25
56,Marinko Matosevic,Kei Nishikori,1,0,61,69,39,29,66,68,34,25
57,Dusan Lajovic,Lucas Pouille,1,1,61,53,39,30,61,55,39,22
58,Robin Haase,Donald Young,1,0,67,56,33,18,73,58,27,16
59,Andreas Seppi,Lleyton Hewitt,1,1,59,72,41,40,51,76,49,38
60,Ryan Harrison,Gael Monfils,1,0,62,42,38,17,64,43,36,18
61,Tobias Kamke,Jack Sock,1,0,49,51,51,36,50,54,50,43
62,Thanasi Kokkinakis,Igor Sijsling,1,1,54,55,46,36,59,56,41,23
63,Rafael Nadal,Bernard Tomic,1,1,62,14,38,6,71,15,29,3
64,Leonardo Mayer,Novak Djokovic,2,0,52,28,48,17,66,36,34,17
65,Dmitry Tursunov,Denis Istomin,2,0,53,45,47,26,54,47,46,36
66,Sam Querrey,Ernests Gulbis,2,1,72,45,28,11,46,23,54,21
67,Fabio Fognini,Jarkko Nieminen,2,1,58,62,42,30,65,57,35,23
68,Nikolay Davydenko,Richard Gasquet,2,0,77,48,23,11,58,41,42,21
69,Tommy Robredo,Julien Benneteau,2,1,58,61,42,38,62,68,38,27
70,Matthew Ebden,Vasek Pospisil,2,0,68,64,32,19,60,59,40,31
71,Stanislas Wawrinka,Alejandro Falla,2,1,56,57,44,31,60,56,40,25
72,Adrian Mannarino,David Ferrer,2,0,55,44,45,25,68,56,32,18
73,Jeremy Chardy,Alexandr Dolgopolov,2,1,60,74,40,30,71,81,29,22
74,Pablo Andujar,Jerzy Janowicz,2,0,79,71,21,20,67,76,33,25
75,Mikhail Youzhny,Florian Mayer,2,0,55,55,45,36,60,59,40,33
76,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,2,1,57,49,43,28,51,46,49,26
77,Kevin Anderson,Dominic Thiem,2,1,65,43,35,18,59,34,41,16
78,Damir Dzumhur,Ivan Dodig,2,0,51,36,49,26,55,39,45,20
79,Tomas Berdych,Kenny De Schepper,2,1,64,37,36,15,63,33,37,10
80,Blaz Kavcic,Roger Federer,2,0,62,32,38,18,76,45,24,9
81,Fernando Verdasco,Teymuraz Gabashvili,2,0,60,67,40,34,68,62,32,26
82,Marin Cilic,Gilles Simon,2,0,50,50,50,32,49,65,51,41
83,Jo-Wilfried Tsonga,Thomaz Bellucci,2,1,64,51,36,18,45,31,55,34
84,Blaz Rola,Martin Klizan,2,0,63,66,37,24,58,49,42,34
85,Stephane Robert,Michal Przysiezny,2,1,58,56,42,30,58,50,42,24
86,Michael Berrer,Feliciano Lopez,2,0,68,47,32,17,62,45,38,23
87,Andy Murray,Vincent Millot,2,1,59,35,41,17,55,25,45,20
88,Roberto Bautista Agut,Juan Martin Del Potro,2,1,69,88,31,23,72,76,28,21
89,Benoit Paire,Nick Kyrgios,2,1,50,68,50,47,66,86,34,27
90,Yen-Hsun Lu,Grigor Dimitrov,2,0,70,47,30,19,59,49,41,18
91,Milos Raonic,Victor Hanescu,2,1,64,57,36,23,67,55,33,22
92,Dusan Lajovic,Kei Nishikori,2,0,70,37,30,8,64,43,36,15
93,Andreas Seppi,Donald Young,2,0,57,57,43,33,61,71,39,29
94,Jack Sock,Gael Monfils,2,0,58,48,42,23,62,47,38,23
95,Rafael Nadal,Thanasi Kokkinakis,2,1,74,45,26,11,67,33,33,10
96,Denis Istomin,Novak Djokovic,3,0,65,41,35,10,63,38,37,20
97,Fabio Fognini,Sam Querrey,3,1,60,41,40,26,63,43,37,19
98,Tommy Robredo,Richard Gasquet,3,1,65,70,35,21,62,61,38,28
99,Jeremy Chardy,David Ferrer,3,0,58,44,42,17,72,44,28,17
100,Florian Mayer,Jerzy Janowicz,3,1,68,42,32,15,53,34,47,18
101,Kevin Anderson,Edouard Roger-Vasselin,3,1,67,77,33,26,74,94,26,20
102,Tomas Berdych,Damir Dzumhur,3,1,57,37,43,19,44,25,56,17
103,Teymuraz Gabashvili,Roger Federer,3,0,69,38,31,10,62,39,38,16
104,Jo-Wilfried Tsonga,Gilles Simon,3,1,66,49,34,20,53,34,47,22
105,Stephane Robert,Martin Klizan,3,1,72,54,28,11,53,32,47,21
106,Andy Murray,Feliciano Lopez,3,1,64,50,36,16,57,39,43,20
107,Benoit Paire,Roberto Bautista Agut,3,0,58,30,42,10,83,46,17,7
108,Milos Raonic,Grigor Dimitrov,3,0,59,55,41,30,60,55,40,33
109,Donald Young,Kei Nishikori,3,0,64,23,36,7,54,29,46,21
110,Rafael Nadal,Gael Monfils,3,1,67,38,33,20,69,39,31,10
111,Fabio Fognini,Novak Djokovic,4,0,59,32,41,13,72,38,28,12
112,Stanislas Wawrinka,Tommy Robredo,4,1,56,54,44,24,71,53,29,14
113,Florian Mayer,David Ferrer,4,0,61,52,39,27,63,55,37,24
114,Tomas Berdych,Kevin Anderson,4,1,52,33,48,21,72,40,28,9
115,Jo-Wilfried Tsonga,Roger Federer,4,0,52,32,48,23,57,42,43,25
116,Andy Murray,Stephane Robert,4,1,62,59,38,25,51,39,49,22
117,Grigor Dimitrov,Roberto Bautista Agut,4,1,60,57,40,21,64,44,36,22
118,Rafael Nadal,Kei Nishikori,4,1,71,67,29,14,66,51,34,16
119,Stanislas Wawrinka,Novak Djokovic,5,1,58,71,42,36,73,75,27,23
120,Tomas Berdych,David Ferrer,5,1,52,52,48,27,61,46,39,23
121,Andy Murray,Roger Federer,5,0,61,60,39,28,64,61,36,28
122,Rafael Nadal,Grigor Dimitrov,5,1,73,66,27,22,58,64,42,32
123,Tomas Berdych,Stanislas Wawrinka,6,0,62,71,38,30,61,72,39,32
124,Rafael Nadal,Roger Federer,6,1,65,41,35,22,66,45,34,18
125,Rafael Nadal,Stanislas Wawrinka,7,0,78,50,22,10,55,46,45,22
126,Serena Williams,Ashleigh Barty,1,1,59,20,41,8,51,14,49,11
127,Vesna Dolonc,Lara Arruabarrena,1,1,65,33,35,10,62,33,38,10
128,Pauline Parmentier,Karolina Pliskova,1,0,63,16,37,4,60,26,40,7
129,Heather Watson,Daniela Hantuchova,1,0,61,41,39,19,68,43,32,10
130,Samantha Stosur,Klara Zakopalova,1,1,65,28,35,11,50,18,50,7
131,Tsvetana Pironkova,Silvia Soler-Espinosa,1,1,62,28,38,12,50,18,50,14
132,Annika Beck,Petra Martic,1,1,67,18,33,8,50,8,50,4
133,Kiki Bertens,Ana Ivanovic,1,0,61,15,39,11,60,24,40,9
134,Roberta Vinci,Jie Zheng,1,0,66,23,34,7,68,26,32,10
135,Patricia Mayr-Achleitner,Madison Keys,1,0,71,48,29,14,52,45,48,30
136,Casey Dellacqua,Vera Zvonareva,1,1,66,22,34,13,65,22,35,9
137,Laura Robson,Kirsten Flipkens,1,0,57,14,43,5,57,18,43,11
138,Eugenie Bouchard,Hao Chen Tang,1,1,64,30,36,16,57,21,43,12
139,Alison Van Uytvanck,Virginie Razzano,1,0,54,32,46,15,58,39,42,18
140,Sachia Vickery,Lauren Davis,1,0,51,14,49,12,61,23,39,7
141,Julia Goerges,Sara Errani,1,1,50,20,50,15,77,21,23,5
142,Na Li,Ana Konjuh,1,1,76,24,24,7,50,13,50,9
143,Belinda Bencic,Kimiko Date-Krumm,1,1,53,25,47,15,71,31,29,10
144,Donna Vekic,Lucie Hradecka,1,0,47,17,53,9,54,23,46,12
145,Julia Glushko,Lucie Safarova,1,0,61,35,39,20,59,37,41,21
146,Ekaterina Makarova,Venus Williams,1,1,63,43,37,17,55,36,45,18
147,Anabel Medina Garrigues,Irina Falconi,1,0,86,18,14,3,53,18,47,13
148,Shahar Peer,Monica Niculescu,1,0,80,21,20,2,82,26,18,3
149,Mirjana Lucic-Baroni,Sabine Lisicki,1,0,43,17,57,8,52,32,48,15
150,Angelique Kerber,Jarmila Gajdosova,1,1,65,36,35,13,53,29,47,12
151,Caroline Garcia,Alla Kudryavtseva,1,0,58,22,42,15,58,37,42,14
152,Dinah Pfizenmaier,Yanina Wickmayer,1,0,48,24,52,23,58,38,42,15
153,Alison Riske,Elena Vesnina,1,1,64,24,36,8,62,17,38,10
154,Flavia Pennetta,Alexandra Cadantu,1,1,40,16,60,14,58,14,42,9
155,Monica Puig,Anna Tatishvili,1,1,61,30,39,13,68,20,32,5
156,Shuai Zhang,Mona Barthel,1,0,75,31,25,8,69,41,31,10
157,Luksika Kumkhum,Petra Kvitova,1,1,48,26,52,20,60,36,40,15
158,Jelena Jankovic,Misaki Doi,1,1,60,23,40,11,52,12,48,5
159,Nadiya Kichenok,Ayumi Morita,1,0,63,27,37,11,62,30,38,16
160,Kurumi Nara,Shuai Peng,1,1,74,39,26,10,63,40,37,16
161,Andrea Petkovic,Magdalena Rybarikova,1,0,68,23,32,6,67,27,33,8
162,Sorana Cirstea,Marina Erakovic,1,0,57,25,43,13,59,35,41,17
163,Zarina Diyas,Katerina Siniakova,1,1,74,33,26,6,57,22,43,10
164,Lesia Tsurenko,Varvara Lepchenko,1,0,63,35,37,20,64,42,36,15
165,Katarzyna Piter,Simona Halep,1,0,77,12,23,1,61,21,39,9
166,Carla Suarez Navarro,Vania King,1,1,79,31,21,4,69,20,31,5
167,Galina Voskoboeva,Irina-Camelia Begu,1,1,64,41,36,18,62,44,38,15
168,Kristina Mladenovic,Stefanie Voegele,1,0,48,29,52,19,66,32,34,13
169,Francesca Schiavone,Dominika Cibulkova,1,0,60,21,40,11,61,33,39,14
170,Alize Cornet,Polona Hercog,1,0,75,3,25,1,0,0,100,1
171,Camila Giorgi,Storm Sanders,1,1,51,38,49,23,63,35,37,12
172,Paula Ormaechea,Karin Knapp,1,0,57,26,43,7,61,26,39,8
173,Bethanie Mattek-Sands,Maria Sharapova,1,0,57,27,43,10,53,31,47,13
174,Agnieszka Radwanska,Yulia Putintseva,1,1,59,36,41,15,52,29,48,16
175,Olga Govortsova,Ying-Ying Duan,1,1,68,35,32,8,60,24,40,16
176,Carina Witthoeft,Mandy Minella,1,0,62,16,38,10,56,17,44,16
177,Teliana Pereira,Anastasia Pavlyuchenkova,1,0,68,43,32,14,62,32,38,15
178,Kaia Kanepi,Garbine Muguruza,1,0,64,27,36,12,51,28,49,20
179,Timea Babos,Anna Schmiedlova,1,0,60,46,40,17,66,54,34,23
180,Christina McHale,Yung-Jan Chan,1,1,71,31,29,11,68,28,32,10
181,Lourdes Dominguez Lino,Caroline Wozniacki,1,0,58,10,42,8,61,17,39,11
182,Sloane Stephens,Yaroslava Shvedova,1,1,75,31,25,7,58,22,42,10
183,Tadeja Majeric,Ajla Tomljanovic,1,0,72,54,28,10,49,36,51,25
184,Olivia Rogowska,Mariana Duque-Marino,1,1,63,25,37,10,67,18,33,5
185,Elina Svitolina,Svetlana Kuznetsova,1,1,61,26,39,8,48,20,52,11
186,Bojana Jovanovski,Jana Cepelova,1,1,76,43,24,11,69,28,31,7
187,Chanelle Scheepers,Yvonne Meusburger,1,0,53,27,47,12,68,32,32,12
188,Su-Wei Hsieh,Barbora Zahlavova Strycova,1,0,58,33,42,15,68,39,32,13
189,Johanna Larsson,Victoria Azarenka,1,0,72,24,28,5,75,41,25,4
190,Serena Williams,Vesna Dolonc,2,1,66,28,34,8,54,17,46,6
191,Karolina Pliskova,Daniela Hantuchova,2,0,55,50,45,28,59,53,41,28
192,Samantha Stosur,Tsvetana Pironkova,2,1,59,20,41,10,57,15,43,4
193,Annika Beck,Ana Ivanovic,2,0,75,13,25,3,54,16,46,13
194,Jie Zheng,Madison Keys,2,1,76,40,24,14,63,39,37,18
195,Casey Dellacqua,Kirsten Flipkens,2,1,73,22,27,6,48,15,52,10
196,Eugenie Bouchard,Virginie Razzano,2,1,50,26,50,17,75,32,25,6
197,Lauren Davis,Julia Goerges,2,1,69,51,31,15,71,45,29,11
198,Na Li,Belinda Bencic,2,1,60,27,40,12,54,21,46,8
199,Lucie Hradecka,Lucie Safarova,2,0,44,33,56,26,62,47,38,20
200,Ekaterina Makarova,Irina Falconi,2,1,56,26,44,14,74,22,26,10
201,Monica Niculescu,Sabine Lisicki,2,1,66,35,34,9,53,23,47,14
202,Angelique Kerber,Alla Kudryavtseva,2,1,59,24,41,11,63,25,37,8
203,Yanina Wickmayer,Alison Riske,2,0,63,13,37,6,78,27,22,6
204,Flavia Pennetta,Monica Puig,2,1,45,22,55,18,45,21,55,16
205,Mona Barthel,Luksika Kumkhum,2,1,63,44,37,18,58,38,42,13
206,Jelena Jankovic,Ayumi Morita,2,1,59,19,41,7,57,8,43,5
207,Kurumi Nara,Magdalena Rybarikova,2,1,66,26,34,15,52,16,48,8
208,Marina Erakovic,Zarina Diyas,2,0,50,15,50,8,70,27,30,10
209,Varvara Lepchenko,Simona Halep,2,0,63,34,37,10,58,29,42,16
210,Carla Suarez Navarro,Galina Voskoboeva,2,1,73,57,27,17,55,40,45,23
211,Stefanie Voegele,Dominika Cibulkova,2,0,42,11,58,1,68,21,32,8
212,Alize Cornet,Camila Giorgi,2,1,59,39,41,17,56,31,44,20
213,Karin Knapp,Maria Sharapova,2,1,53,40,47,23,60,44,40,23
214,Agnieszka Radwanska,Olga Govortsova,2,1,66,28,34,8,70,20,30,6
215,Mandy Minella,Anastasia Pavlyuchenkova,2,0,55,21,45,11,67,24,33,8
216,Garbine Muguruza,Anna Schmiedlova,2,1,56,23,44,11,59,15,41,7
217,Christina McHale,Caroline Wozniacki,2,0,53,22,47,12,74,30,26,8
218,Sloane Stephens,Ajla Tomljanovic,2,1,71,39,29,14,54,35,46,22
219,Olivia Rogowska,Elina Svitolina,2,0,61,26,39,14,53,26,47,15
220,Bojana Jovanovski,Yvonne Meusburger,2,0,69,30,31,14,67,38,33,5
221,Barbora Zahlavova Strycova,Victoria Azarenka,2,0,55,13,45,9,85,34,15,6
222,Serena Williams,Daniela Hantuchova,3,1,48,20,52,15,54,15,46,12
223,Samantha Stosur,Ana Ivanovic,3,0,68,42,32,22,58,47,42,23
224,Jie Zheng,Casey Dellacqua,3,0,64,18,36,11,58,20,42,14
225,Eugenie Bouchard,Lauren Davis,3,1,61,23,39,10,77,24,23,3
226,Na Li,Lucie Safarova,3,1,60,43,40,18,59,33,41,17
227,Ekaterina Makarova,Monica Niculescu,3,1,56,17,44,13,70,23,30,8
228,Angelique Kerber,Alison Riske,3,1,63,21,37,6,62,16,38,8
229,Flavia Pennetta,Mona Barthel,3,1,44,17,56,15,60,22,40,13
230,Jelena Jankovic,Kurumi Nara,3,1,62,23,38,13,86,25,14,5
231,Zarina Diyas,Simona Halep,3,0,61,16,39,7,52,18,48,13
232,Carla Suarez Navarro,Dominika Cibulkova,3,0,65,12,35,4,69,21,31,8
233,Alize Cornet,Maria Sharapova,3,0,65,24,35,9,50,23,50,16
234,Agnieszka Radwanska,Anastasia Pavlyuchenkova,3,1,65,36,35,16,59,29,41,17
235,Garbine Muguruza,Caroline Wozniacki,3,1,64,37,36,16,67,39,33,12
236,Sloane Stephens,Elina Svitolina,3,1,69,31,31,10,57,23,43,15
237,Yvonne Meusburger,Victoria Azarenka,3,0,70,8,30,4,74,20,26,5
238,Serena Williams,Ana Ivanovic,4,0,66,43,34,13,53,31,47,21
239,Casey Dellacqua,Eugenie Bouchard,4,0,61,33,39,14,65,37,35,16
240,Na Li,Ekaterina Makarova,4,1,80,26,20,4,64,14,36,3
241,Angelique Kerber,Flavia Pennetta,4,0,64,35,36,10,60,33,40,12
242,Jelena Jankovic,Simona Halep,4,0,67,32,33,11,64,26,36,14
243,Dominika Cibulkova,Maria Sharapova,4,1,69,27,31,13,66,31,34,12
244,Agnieszka Radwanska,Garbine Muguruza,4,1,73,34,27,11,56,18,44,10
245,Sloane Stephens,Victoria Azarenka,4,0,72,24,28,9,69,32,31,10
246,Ana Ivanovic,Eugenie Bouchard,5,0,56,34,44,23,58,42,42,20
247,Na Li,Flavia Pennetta,5,1,64,23,36,10,39,12,61,13
248,Simona Halep,Dominika Cibulkova,5,0,67,13,33,6,77,25,23,5
249,Agnieszka Radwanska,Victoria Azarenka,5,1,59,33,41,16,60,26,40,19
250,Eugenie Bouchard,Na Li,6,0,45,13,55,5,61,27,39,11
251,Dominika Cibulkova,Agnieszka Radwanska,6,1,64,22,36,10,68,17,32,2
252,Na Li,Dominika Cibulkova,7,1,60,21,40,15,67,29,33,5
253,Pablo Carreno-Busta,Roger Federer,1,0,62,27,38,11,68,33,32,14
254,Somdev Devvarman,Daniel Munoz-De La Nava,1,1,62,54,38,22,52,35,48,24
255,Tobias Kamke,Paolo Lorenzi,1,1,62,53,38,15,46,42,54,31
256,Julien Benneteau,Ricardas Berankis,1,1,72,87,28,19,53,58,47,38
257,Lukas Lacko,Sam Querrey,1,0,52,31,48,22,58,39,42,19
258,Jan Hajek,Denis Kudla,1,1,70,58,30,18,68,48,32,17
259,Adrian Mannarino,Pablo Cuevas,1,0,63,71,37,38,59,67,41,27
260,Gilles Simon,Lleyton Hewitt,1,1,59,42,41,25,49,40,51,29
261,Philipp Petzschner,Marin Cilic,1,0,56,27,44,13,50,26,50,20
262,Radek Stepanek,Nick Kyrgios,1,0,63,62,37,29,56,64,44,35
263,Viktor Troicki,James Blake,1,1,48,29,52,20,47,22,53,15
264,Juan Monaco,Daniel Gimeno-Traver,1,0,78,85,22,22,52,67,48,47
265,Benjamin Becker,Jeremy Chardy,1,0,66,48,34,13,66,44,34,17
266,Roberto Bautista Agut,Gilles Muller,1,1,83,51,17,6,55,36,45,18
267,Jarkko Nieminen,Paul-Henri Mathieu,1,1,69,84,31,29,54,58,46,36
268,Jo-Wilfried Tsonga,Aljaz Bedene,1,1,50,32,50,23,62,26,38,12
269,Marinko Matosevic,David Ferrer,1,0,59,29,41,10,55,33,45,18
270,Steve Johnson,Albert Montanes,1,0,55,53,45,32,65,59,35,21
271,Joao Sousa,Go Soeda,1,1,70,40,30,14,58,24,42,10
272,Marcel Granollers,Feliciano Lopez,1,0,70,55,30,18,58,52,42,33
273,Illya Marchenko,Kevin Anderson,1,0,60,39,40,25,64,50,36,15
274,Jan-Lennard Struff,Evgeny Donskoy,1,0,48,47,52,32,59,59,41,25
275,Steve Darcis,Michael Llodra,1,0,71,49,29,23,58,56,42,16
276,Milos Raonic,Xavier Malisse,1,1,73,55,27,14,64,42,36,18
277,Andreas Haider-Maurer,Nicolas Almagro,1,0,65,50,35,20,53,50,47,28
278,Martin Alund,Edouard Roger-Vasselin,1,0,57,31,43,17,63,45,37,22
279,Blaz Kavcic,James Duckworth,1,1,63,33,37,17,46,19,54,11
280,Andreas Seppi,Leonardo Mayer,1,1,67,73,33,32,64,68,36,28
281,Jurgen Zopp,Tommy Robredo,1,0,68,35,32,9,65,37,35,12
282,Igor Sijsling,Jurgen Melzer,1,1,64,41,36,18,72,37,28,6
283,Ernests Gulbis,Rogerio Dutra Silva,1,1,53,36,47,23,65,31,35,13
284,Tomas Berdych,Gael Monfils,1,0,66,91,34,33,72,104,28,27
285,Sergiy Stakhovsky,Richard Gasquet,1,0,55,22,45,17,67,36,33,16
286,Michal Przysiezny,Rhyne Williams,1,1,67,75,33,27,67,66,33,21
287,Florent Serra,Nikolay Davydenko,1,0,64,35,36,13,67,50,33,16
288,Florian Mayer,Denis Istomin,1,0,59,40,41,15,69,44,31,13
289,Albert Ramos,Jerzy Janowicz,1,0,61,41,39,25,63,49,37,26
290,Kenny De Schepper,Robin Haase,1,0,64,61,36,21,65,59,35,25
291,Vasek Pospisil,Horacio Zeballos,1,0,56,67,44,34,68,71,32,18
292,Stanislas Wawrinka,Thiemo De Bakker,1,1,69,74,31,24,69,70,31,25
293,Jesse Levine,Kei Nishikori,1,0,52,16,48,9,51,27,49,19
294,Grega Zemlja,Santiago Giraldo,1,1,52,32,48,21,64,30,36,12
295,Lukasz Kubot,Maxime Teixeira,1,1,64,30,36,12,64,37,36,12
296,Benoit Paire,Marcos Baghdatis,1,1,46,40,54,29,53,34,47,25
297,Andreas Beck,Fabio Fognini,1,0,55,37,45,25,64,50,36,27
298,Pere Riba,Lukas Rosol,1,0,60,38,40,14,62,41,38,23
299,Martin Klizan,Michael Russell,1,1,49,29,51,22,69,35,31,9
300,Rafael Nadal,Daniel Brands,1,1,84,74,16,12,74,66,26,22
301,Fernando Verdasco,Marc Gicquel,1,1,64,37,36,11,53,23,47,13
302,Federico Delbonis,Julian Reister,1,1,55,52,45,27,72,47,28,15
303,Mikhail Youzhny,Pablo Andujar,1,1,65,70,35,20,56,49,44,27
304,Carlos Berlocq,John Isner,1,0,73,45,27,10,63,45,37,16
305,Andrey Kuznetsov,Ryan Harrison,1,0,71,48,29,11,56,46,44,26
306,Jack Sock,Guillermo Garcia-Lopez,1,1,56,32,44,23,63,30,37,11
307,Tommy Haas,Guillaume Rufin,1,1,65,48,35,13,61,32,39,21
308,Jiri Vesely,Philipp Kohlschreiber,1,0,61,59,39,25,62,61,38,21
309,Simone Bolelli,Yen-Hsun Lu,1,0,63,33,37,12,77,32,23,9
310,Bernard Tomic,Victor Hanescu,1,0,63,38,37,17,71,51,29,19
311,Alexandr Dolgopolov,Dmitry Tursunov,1,0,55,51,45,22,51,47,49,28
312,Alejandro Falla,Grigor Dimitrov,1,0,54,10,46,7,59,20,41,10
313,Alex Kuznetsov,Lucas Pouille,1,0,63,33,37,13,48,36,52,33
314,Ivan Dodig,Guido Pella,1,0,56,80,44,37,61,71,39,35
315,Novak Djokovic,David Goffin,1,1,69,53,31,20,61,46,39,25
316,Somdev Devvarman,Roger Federer,2,0,61,19,39,16,62,30,38,18
317,Julien Benneteau,Tobias Kamke,2,1,72,83,28,23,65,75,35,37
318,Jan Hajek,Sam Querrey,2,0,66,36,34,16,62,45,38,14
319,Gilles Simon,Pablo Cuevas,2,1,57,41,43,26,56,37,44,19
320,Nick Kyrgios,Marin Cilic,2,0,64,33,36,10,51,32,49,23
321,Daniel Gimeno-Traver,Viktor Troicki,2,0,78,84,22,15,56,61,44,35
322,Roberto Bautista Agut,Jeremy Chardy,2,0,79,42,21,8,64,50,36,17
323,Jo-Wilfried Tsonga,Jarkko Nieminen,2,1,65,44,35,19,61,41,39,25
324,Albert Montanes,David Ferrer,2,0,67,28,33,9,60,31,40,15
325,Feliciano Lopez,Joao Sousa,2,1,64,56,36,23,66,58,34,24
326,Evgeny Donskoy,Kevin Anderson,2,0,67,62,33,21,68,69,32,26
327,Milos Raonic,Michael Llodra,2,1,63,62,37,25,61,59,39,32
328,Edouard Roger-Vasselin,Nicolas Almagro,2,0,57,30,43,16,46,36,54,30
329,Andreas Seppi,Blaz Kavcic,2,1,57,67,43,41,63,64,37,37
330,Igor Sijsling,Tommy Robredo,2,0,52,51,48,30,62,67,38,28
331,Gael Monfils,Ernests Gulbis,2,1,64,65,36,32,60,55,40,22
332,Michal Przysiezny,Richard Gasquet,2,0,64,27,36,8,59,32,41,14
333,Denis Istomin,Nikolay Davydenko,2,0,68,41,32,19,65,41,35,18
334,Robin Haase,Jerzy Janowicz,2,0,68,51,32,21,60,48,40,28
335,Stanislas Wawrinka,Horacio Zeballos,2,1,66,52,34,18,62,46,38,16
336,Grega Zemlja,Kei Nishikori,2,0,48,39,52,24,63,45,37,19
