,Unnamed: 0,Player1,Player2,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,bucketize_FSP.1,scaling_FSP.1,Scaling_FSW.1,scaling_SSP.1,bucketize_SSP.1,Scaling_SSW.1,Scaling_FSP.2,Serve_Efficiency_Player1,serve_effectiveness,Serve_Difference,ServeEfficiencyDiff,Serve_Average.1,Serve_Effectiveness,Serve_Efficiency_Difference,Serve_Preference,ServeEffectivenessRatio,"GROUPBY_['Player1', 'Player2', 'Round']_mean_Serve_Effectiveness","GROUPBY_['Player1', 'Player2', 'Round']_mean_Serve_Efficiency_Player1","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP.1","GROUPBY_['Player1', 'Player2']_mean_Round"
10,10,Pablo Carreno Busta,Julien Benneteau,1,0,53,46,47,35,66,62,34,24,Medium,0.53,46.0,0.47,medium,0.35,0.66,0.8679245283018868,0.3142857142857143,-0.19696969696969696,-0.25806451612903225,50.0,0.8679245283018868,0.5536388140161725,0.3142857142857143,1.0,0.8679245283018868,0.8679245283018868,53.0,1.0
11,11,Tommy Robredo,Lukas Rosol,1,1,57,62,43,43,51,72,49,41,Medium,0.57,62.0,0.43,medium,0.43,0.51,1.087719298245614,0.4418604651162791,0.11764705882352941,-0.1388888888888889,50.0,1.087719298245614,0.645858833129335,0.4418604651162791,1.0,1.087719298245614,1.087719298245614,57.0,1.0
12,12,Samuel Groth,Vasek Pospisil,1,0,65,40,35,17,67,45,33,13,Medium,0.65,40.0,0.35,medium,0.17,0.67,0.6153846153846154,1.3529411764705883,-0.029850746268656716,-0.1111111111111111,50.0,0.6153846153846154,-0.7375565610859729,1.3529411764705883,1.0,0.6153846153846154,0.6153846153846154,65.0,1.0
13,13,Nicolas Mahut,Matthew Ebden,1,0,64,63,36,23,67,58,33,23,Medium,0.64,63.0,0.36,medium,0.23,0.67,0.984375,1.7391304347826086,-0.04477611940298507,0.08620689655172414,50.0,0.984375,-0.7547554347826086,1.7391304347826086,1.0,0.984375,0.984375,64.0,1.0
14,14,Alejandro Falla,Mikhail Kukushkin,1,1,60,50,40,23,55,55,45,23,Medium,0.6,50.0,0.4,medium,0.23,0.55,0.8333333333333334,1.173913043478261,0.09090909090909091,-0.09090909090909091,50.0,0.8333333333333334,-0.3405797101449276,1.173913043478261,1.0,0.8333333333333334,0.8333333333333334,60.0,1.0
15,15,Stanislas Wawrinka,Andrey Golubev,1,1,63,20,37,6,64,18,36,10,Medium,0.63,20.0,0.37,medium,0.06,0.64,0.31746031746031744,2.3333333333333335,-0.015625,0.1111111111111111,50.0,0.31746031746031744,-2.015873015873016,2.3333333333333335,1.0,0.31746031746031744,0.31746031746031744,63.0,1.0
16,16,Alejandro Gonzalez,David Ferrer,1,0,68,34,32,7,53,28,47,21,High,0.68,34.0,0.32,low,0.07,0.53,0.5,3.857142857142857,0.2830188679245283,0.21428571428571427,50.0,0.5,-3.357142857142857,3.857142857142857,1.0,0.5,0.5,68.0,1.0
17,17,Steve Johnson,Adrian Mannarino,1,0,53,50,47,28,58,52,42,37,Medium,0.53,50.0,0.47,medium,0.28,0.58,0.9433962264150944,0.7857142857142857,-0.08620689655172414,-0.038461538461538464,50.0,0.9433962264150944,0.15768194070080865,0.7857142857142857,1.0,0.9433962264150944,0.9433962264150944,53.0,1.0
18,18,Ricardas Berankis,Alexandr Dolgopolov,1,0,50,39,50,26,58,42,42,23,Medium,0.5,39.0,0.5,medium,0.26,0.58,0.78,0.5,-0.13793103448275862,-0.07142857142857142,50.0,0.78,0.28,0.5,1.0,0.78,0.78,50.0,1.0
19,19,Jeremy Chardy,Jesse Huta Galung,1,1,66,46,34,16,57,41,43,13,Medium,0.66,46.0,0.34,medium,0.16,0.57,0.696969696969697,1.875,0.15789473684210525,0.12195121951219512,50.0,0.696969696969697,-1.178030303030303,1.875,1.0,0.696969696969697,0.696969696969697,66.0,1.0
20,20,Jordan Thompson,Jerzy Janowicz,1,0,60,58,40,21,64,74,36,27,Medium,0.6,58.0,0.4,medium,0.21,0.64,0.9666666666666667,1.7619047619047619,-0.0625,-0.21621621621621623,50.0,0.9666666666666667,-0.7952380952380952,1.7619047619047619,1.0,0.9666666666666667,0.9666666666666667,60.0,1.0
21,21,Albert Ramos,Pablo Andujar,1,0,61,32,39,10,73,40,27,15,Medium,0.61,32.0,0.39,medium,0.1,0.73,0.5245901639344263,2.2,-0.1643835616438356,-0.2,50.0,0.5245901639344263,-1.6754098360655738,2.2,1.0,0.5245901639344263,0.5245901639344263,61.0,1.0
22,22,Florian Mayer,Denis Kudla,1,1,58,36,42,22,59,35,41,18,Medium,0.58,36.0,0.42,medium,0.22,0.59,0.6206896551724138,0.6363636363636364,-0.01694915254237288,0.02857142857142857,50.0,0.6206896551724138,-0.01567398119122254,0.6363636363636364,1.0,0.6206896551724138,0.6206896551724138,58.0,1.0
23,23,Mikhail Youzhny,Jan-Lennard Struff,1,1,69,39,31,17,49,24,51,12,High,0.69,39.0,0.31,low,0.17,0.49,0.5652173913043478,1.2941176470588236,0.40816326530612246,0.625,50.0,0.5652173913043478,-0.7289002557544758,1.2941176470588236,1.0,0.5652173913043478,0.5652173913043478,69.0,1.0
24,24,Guillermo Garcia-Lopez,Tommy Haas,1,1,58,27,42,11,52,22,48,11,Medium,0.58,27.0,0.42,medium,0.11,0.52,0.46551724137931033,1.4545454545454546,0.11538461538461539,0.22727272727272727,50.0,0.46551724137931033,-0.9890282131661443,1.4545454545454546,1.0,0.46551724137931033,0.46551724137931033,58.0,1.0
25,25,Carlos Berlocq,Edouard Roger-Vasselin,1,0,57,49,43,32,65,67,35,32,Medium,0.57,49.0,0.43,medium,0.32,0.65,0.8596491228070176,0.53125,-0.12307692307692308,-0.26865671641791045,50.0,0.8596491228070176,0.32839912280701755,0.53125,1.0,0.8596491228070176,0.8596491228070176,57.0,1.0
26,26,Dominic Thiem,Joao Sousa,1,1,55,60,45,31,65,57,35,30,Medium,0.55,60.0,0.45,medium,0.31,0.65,1.0909090909090908,0.9354838709677419,-0.15384615384615385,0.05263157894736842,50.0,1.0909090909090908,0.15542521994134895,0.9354838709677419,1.0,1.0909090909090908,1.0909090909090908,55.0,1.0
27,27,Kevin Anderson,Jiri Vesely,1,1,63,76,37,28,57,69,43,43,Medium,0.63,76.0,0.37,medium,0.28,0.57,1.2063492063492063,1.7142857142857142,0.10526315789473684,0.10144927536231885,50.0,1.2063492063492063,-0.5079365079365079,1.7142857142857142,1.0,1.2063492063492063,1.2063492063492063,63.0,1.0
28,28,Ivo Karlovic,Ivan Dodig,1,0,66,55,34,18,83,68,17,12,Medium,0.66,55.0,0.34,medium,0.18,0.83,0.8333333333333334,2.0555555555555554,-0.20481927710843373,-0.19117647058823528,50.0,0.8333333333333334,-1.2222222222222219,2.0555555555555554,1.0,0.8333333333333334,0.8333333333333334,66.0,1.0
29,29,Jan Hajek,Damir Dzumhur,1,0,73,31,27,6,53,31,47,19,High,0.73,31.0,0.27,low,0.06,0.53,0.4246575342465753,4.166666666666667,0.37735849056603776,0.0,50.0,0.4246575342465753,-3.7420091324200917,4.166666666666667,1.0,0.4246575342465753,0.4246575342465753,73.0,1.0
30,30,Di Wu,Kenny De Schepper,1,0,60,46,40,29,62,63,38,20,Medium,0.6,46.0,0.4,medium,0.29,0.62,0.7666666666666667,0.5862068965517241,-0.03225806451612903,-0.2698412698412698,50.0,0.7666666666666667,0.18045977011494263,0.5862068965517241,1.0,0.7666666666666667,0.7666666666666667,60.0,1.0
31,31,Tomas Berdych,Aleksandr Nedovyesov,1,1,66,39,34,19,61,37,39,17,Medium,0.66,39.0,0.34,medium,0.19,0.61,0.5909090909090909,1.0526315789473684,0.08196721311475409,0.05405405405405406,50.0,0.5909090909090909,-0.4617224880382774,1.0526315789473684,1.0,0.5909090909090909,0.5909090909090909,66.0,1.0
32,32,James Duckworth,Roger Federer,1,0,52,36,48,19,58,40,42,19,Medium,0.52,36.0,0.48,medium,0.19,0.58,0.6923076923076923,0.8947368421052632,-0.10344827586206896,-0.1,50.0,0.6923076923076923,-0.20242914979757087,0.8947368421052632,1.0,0.6923076923076923,0.6923076923076923,52.0,1.0
33,33,Radek Stepanek,Blaz Kavcic,1,0,51,37,49,29,63,43,37,22,Medium,0.51,37.0,0.49,medium,0.29,0.63,0.7254901960784313,0.27586206896551724,-0.19047619047619047,-0.13953488372093023,50.0,0.7254901960784313,0.4496281271129141,0.27586206896551724,1.0,0.7254901960784313,0.7254901960784313,51.0,1.0
34,34,Teymuraz Gabashvili,Sergiy Stakhovsky,1,1,58,49,42,24,55,50,45,21,Medium,0.58,49.0,0.42,medium,0.24,0.55,0.8448275862068966,1.0416666666666667,0.05454545454545454,-0.02,50.0,0.8448275862068966,-0.19683908045977017,1.0416666666666667,1.0,0.8448275862068966,0.8448275862068966,58.0,1.0
35,35,Fernando Verdasco,Ze Zhang,1,1,61,59,39,24,58,44,42,25,Medium,0.61,59.0,0.39,medium,0.24,0.58,0.9672131147540983,1.4583333333333333,0.05172413793103448,0.3409090909090909,50.0,0.9672131147540983,-0.49112021857923494,1.4583333333333333,1.0,0.9672131147540983,0.9672131147540983,61.0,1.0
36,36,Daniel Brands,Gilles Simon,1,0,63,109,37,36,56,114,44,57,Medium,0.63,109.0,0.37,medium,0.36,0.56,1.7301587301587302,2.0277777777777777,0.125,-0.043859649122807015,50.0,1.7301587301587302,-0.29761904761904745,2.0277777777777777,1.0,1.7301587301587302,1.7301587301587302,63.0,1.0
37,37,Marin Cilic,Marcel Granollers,1,1,58,57,42,30,61,64,39,27,Medium,0.58,57.0,0.42,medium,0.3,0.61,0.9827586206896551,0.9,-0.04918032786885246,-0.109375,50.0,0.9827586206896551,0.08275862068965512,0.9,1.0,0.9827586206896551,0.9827586206896551,58.0,1.0
38,38,Thomaz Bellucci,Julian Reister,1,1,53,39,47,24,60,41,40,16,Medium,0.53,39.0,0.47,medium,0.24,0.6,0.7358490566037735,0.625,-0.11666666666666667,-0.04878048780487805,50.0,0.7358490566037735,0.11084905660377353,0.625,1.0,0.7358490566037735,0.7358490566037735,53.0,1.0
39,39,Jo-Wilfried Tsonga,Filippo Volandri,1,1,62,37,38,23,57,35,43,20,Medium,0.62,37.0,0.38,medium,0.23,0.57,0.5967741935483871,0.6086956521739131,0.08771929824561403,0.05714285714285714,50.0,0.5967741935483871,-0.01192145862552596,0.6086956521739131,1.0,0.5967741935483871,0.5967741935483871,62.0,1.0
40,40,Martin Klizan,John Isner,1,1,54,25,46,21,78,36,22,6,Medium,0.54,25.0,0.46,medium,0.21,0.78,0.46296296296296297,0.19047619047619047,-0.3076923076923077,-0.3055555555555556,50.0,0.46296296296296297,0.2724867724867725,0.19047619047619047,1.0,0.46296296296296297,0.46296296296296297,54.0,1.0
41,41,Blaz Rola,Federico Delbonis,1,1,68,57,32,13,63,38,37,16,High,0.68,57.0,0.32,low,0.13,0.63,0.8382352941176471,3.3846153846153846,0.07936507936507936,0.5,50.0,0.8382352941176471,-2.5463800904977374,3.3846153846153846,1.0,0.8382352941176471,0.8382352941176471,68.0,1.0
42,42,Michal Przysiezny,Horacio Zeballos,1,1,69,48,31,17,60,43,40,18,High,0.69,48.0,0.31,low,0.17,0.6,0.6956521739130435,1.8235294117647058,0.15,0.11627906976744186,50.0,0.6956521739130435,-1.1278772378516624,1.8235294117647058,1.0,0.6956521739130435,0.6956521739130435,69.0,1.0
43,43,Stephane Robert,Aljaz Bedene,1,1,46,25,54,21,54,40,46,9,Medium,0.46,25.0,0.54,medium,0.21,0.54,0.5434782608695652,0.19047619047619047,-0.14814814814814814,-0.375,50.0,0.5434782608695652,0.3530020703933747,0.19047619047619047,1.0,0.5434782608695652,0.5434782608695652,46.0,1.0
44,44,Somdev Devvarman,Feliciano Lopez,1,0,52,34,48,28,65,50,35,18,Medium,0.52,34.0,0.48,medium,0.28,0.65,0.6538461538461539,0.21428571428571427,-0.2,-0.32,50.0,0.6538461538461539,0.43956043956043955,0.21428571428571427,1.0,0.6538461538461539,0.6538461538461539,52.0,1.0
45,45,Michael Berrer,Michael Llodra,1,1,63,39,37,19,72,47,28,12,Medium,0.63,39.0,0.37,medium,0.19,0.72,0.6190476190476191,1.0526315789473684,-0.125,-0.1702127659574468,50.0,0.6190476190476191,-0.4335839598997493,1.0526315789473684,1.0,0.6190476190476191,0.6190476190476191,63.0,1.0
46,46,Vincent Millot,Wayne Odesnik,1,1,57,63,43,34,67,67,33,22,Medium,0.57,63.0,0.43,medium,0.34,0.67,1.105263157894737,0.8529411764705882,-0.14925373134328357,-0.05970149253731343,50.0,1.105263157894737,0.25232198142414874,0.8529411764705882,1.0,1.105263157894737,1.105263157894737,57.0,1.0
47,47,Andy Murray,Go Soeda,1,1,69,33,31,11,61,28,39,6,High,0.69,33.0,0.31,low,0.11,0.61,0.4782608695652174,2.0,0.13114754098360656,0.17857142857142858,50.0,0.4782608695652174,-1.5217391304347827,2.0,1.0,0.4782608695652174,0.4782608695652174,69.0,1.0
48,48,Rhyne Williams,Juan Martin Del Potro,1,0,57,52,43,25,64,62,36,23,Medium,0.57,52.0,0.43,medium,0.25,0.64,0.9122807017543859,1.08,-0.109375,-0.16129032258064516,50.0,0.9122807017543859,-0.16771929824561416,1.08,1.0,0.9122807017543859,0.9122807017543859,57.0,1.0
49,49,Roberto Bautista Agut,Tim Smyczek,1,1,82,37,18,7,61,28,39,10,High,0.82,37.0,0.18,low,0.07,0.61,0.45121951219512196,4.285714285714286,0.3442622950819672,0.32142857142857145,50.0,0.45121951219512196,-3.8344947735191637,4.285714285714286,1.0,0.45121951219512196,0.45121951219512196,82.0,1.0
50,50,Nick Kyrgios,Benjamin Becker,1,1,54,60,46,25,53,45,47,31,Medium,0.54,60.0,0.46,medium,0.25,0.53,1.1111111111111112,1.4,0.018867924528301886,0.3333333333333333,50.0,1.1111111111111112,-0.28888888888888875,1.4,1.0,1.1111111111111112,1.1111111111111112,54.0,1.0
51,51,Benoit Paire,Frank Dancevic,1,1,57,54,43,22,59,47,41,20,Medium,0.57,54.0,0.43,medium,0.22,0.59,0.9473684210526315,1.4545454545454546,-0.03389830508474576,0.14893617021276595,50.0,0.9473684210526315,-0.5071770334928231,1.4545454545454546,1.0,0.9473684210526315,0.9473684210526315,57.0,1.0
52,52,Bradley Klahn,Grigor Dimitrov,1,0,58,54,42,28,57,55,43,30,Medium,0.58,54.0,0.42,medium,0.28,0.57,0.9310344827586207,0.9285714285714286,0.017543859649122806,-0.01818181818181818,50.0,0.9310344827586207,0.0024630541871920597,0.9285714285714286,1.0,0.9310344827586207,0.9310344827586207,58.0,1.0
53,53,Jimmy Wang,Yen-Hsun Lu,1,0,63,32,37,12,62,33,38,11,Medium,0.63,32.0,0.37,medium,0.12,0.62,0.5079365079365079,1.6666666666666667,0.016129032258064516,-0.030303030303030304,50.0,0.5079365079365079,-1.1587301587301588,1.6666666666666667,1.0,0.5079365079365079,0.5079365079365079,63.0,1.0
54,54,Peter Gojowczyk,Victor Hanescu,1,0,55,44,45,22,66,60,34,23,Medium,0.55,44.0,0.45,medium,0.22,0.66,0.8,1.0,-0.16666666666666666,-0.26666666666666666,50.0,0.8,-0.19999999999999996,1.0,1.0,0.8,0.8,55.0,1.0
55,55,Milos Raonic,Daniel Gimeno-Traver,1,1,64,56,36,17,56,43,44,25,Medium,0.64,56.0,0.36,medium,0.17,0.56,0.875,2.2941176470588234,0.14285714285714285,0.3023255813953488,50.0,0.875,-1.4191176470588234,2.2941176470588234,1.0,0.875,0.875,64.0,1.0
56,56,Marinko Matosevic,Kei Nishikori,1,0,61,69,39,29,66,68,34,25,Medium,0.61,69.0,0.39,medium,0.29,0.66,1.1311475409836065,1.3793103448275863,-0.07575757575757576,0.014705882352941176,50.0,1.1311475409836065,-0.24816280384397982,1.3793103448275863,1.0,1.1311475409836065,1.1311475409836065,61.0,1.0
57,57,Dusan Lajovic,Lucas Pouille,1,1,61,53,39,30,61,55,39,22,Medium,0.61,53.0,0.39,medium,0.3,0.61,0.8688524590163934,0.7666666666666667,0.0,-0.03636363636363636,50.0,0.8688524590163934,0.10218579234972669,0.7666666666666667,1.0,0.8688524590163934,0.8688524590163934,61.0,1.0
58,58,Robin Haase,Donald Young,1,0,67,56,33,18,73,58,27,16,High,0.67,56.0,0.33,low,0.18,0.73,0.835820895522388,2.111111111111111,-0.0821917808219178,-0.034482758620689655,50.0,0.835820895522388,-1.2752902155887231,2.111111111111111,1.0,0.835820895522388,0.835820895522388,67.0,1.0
59,59,Andreas Seppi,Lleyton Hewitt,1,1,59,72,41,40,51,76,49,38,Medium,0.59,72.0,0.41,medium,0.4,0.51,1.2203389830508475,0.8,0.1568627450980392,-0.05263157894736842,50.0,1.2203389830508475,0.4203389830508475,0.8,1.0,1.2203389830508475,1.2203389830508475,59.0,1.0
60,60,Ryan Harrison,Gael Monfils,1,0,62,42,38,17,64,43,36,18,Medium,0.62,42.0,0.38,medium,0.17,0.64,0.6774193548387096,1.4705882352941178,-0.03125,-0.023255813953488372,50.0,0.6774193548387096,-0.7931688804554081,1.4705882352941178,1.0,0.6774193548387096,0.6774193548387096,62.0,1.0
61,61,Tobias Kamke,Jack Sock,1,0,49,51,51,36,50,54,50,43,Medium,0.49,51.0,0.51,medium,0.36,0.5,1.0408163265306123,0.4166666666666667,-0.02,-0.05555555555555555,50.0,1.0408163265306123,0.6241496598639455,0.4166666666666667,1.0,1.0408163265306123,1.0408163265306123,49.0,1.0
62,62,Thanasi Kokkinakis,Igor Sijsling,1,1,54,55,46,36,59,56,41,23,Medium,0.54,55.0,0.46,medium,0.36,0.59,1.0185185185185186,0.5277777777777778,-0.0847457627118644,-0.017857142857142856,50.0,1.0185185185185186,0.4907407407407408,0.5277777777777778,1.0,1.0185185185185186,1.0185185185185186,54.0,1.0
63,63,Rafael Nadal,Bernard Tomic,1,1,62,14,38,6,71,15,29,3,Medium,0.62,14.0,0.38,medium,0.06,0.71,0.22580645161290322,1.3333333333333333,-0.1267605633802817,-0.06666666666666667,50.0,0.22580645161290322,-1.10752688172043,1.3333333333333333,1.0,0.22580645161290322,0.22580645161290322,62.0,1.0
64,64,Leonardo Mayer,Novak Djokovic,2,0,52,28,48,17,66,36,34,17,Medium,0.52,28.0,0.48,medium,0.17,0.66,0.5384615384615384,0.6470588235294118,-0.21212121212121213,-0.2222222222222222,50.0,0.5384615384615384,-0.10859728506787336,0.6470588235294118,1.0,0.5384615384615384,0.5384615384615384,52.0,2.0
65,65,Dmitry Tursunov,Denis Istomin,2,0,53,45,47,26,54,47,46,36,Medium,0.53,45.0,0.47,medium,0.26,0.54,0.8490566037735849,0.7307692307692307,-0.018518518518518517,-0.0425531914893617,50.0,0.8490566037735849,0.11828737300435421,0.7307692307692307,1.0,0.8490566037735849,0.8490566037735849,53.0,2.0
66,66,Sam Querrey,Ernests Gulbis,2,1,72,45,28,11,46,23,54,21,High,0.72,45.0,0.28,low,0.11,0.46,0.625,3.090909090909091,0.5652173913043478,0.9565217391304348,50.0,0.625,-2.465909090909091,3.090909090909091,1.0,0.625,0.625,72.0,2.0
67,67,Fabio Fognini,Jarkko Nieminen,2,1,58,62,42,30,65,57,35,23,Medium,0.58,62.0,0.42,medium,0.3,0.65,1.0689655172413792,1.0666666666666667,-0.1076923076923077,0.08771929824561403,50.0,1.0689655172413792,0.0022988505747125743,1.0666666666666667,1.0,1.0689655172413792,1.0689655172413792,58.0,2.0
68,68,Nikolay Davydenko,Richard Gasquet,2,0,77,48,23,11,58,41,42,21,High,0.77,48.0,0.23,low,0.11,0.58,0.6233766233766234,3.3636363636363638,0.3275862068965517,0.17073170731707318,50.0,0.6233766233766234,-2.7402597402597406,3.3636363636363638,1.0,0.6233766233766234,0.6233766233766234,77.0,2.5
69,69,Tommy Robredo,Julien Benneteau,2,1,58,61,42,38,62,68,38,27,Medium,0.58,61.0,0.42,medium,0.38,0.62,1.0517241379310345,0.6052631578947368,-0.06451612903225806,-0.10294117647058823,50.0,1.0517241379310345,0.44646098003629764,0.6052631578947368,1.0,1.0517241379310345,1.0517241379310345,58.0,2.0
70,70,Matthew Ebden,Vasek Pospisil,2,0,68,64,32,19,60,59,40,31,High,0.68,64.0,0.32,low,0.19,0.6,0.9411764705882353,2.3684210526315788,0.13333333333333333,0.0847457627118644,50.0,0.9411764705882353,-1.4272445820433435,2.3684210526315788,1.0,0.9411764705882353,0.9411764705882353,68.0,2.0
71,71,Stanislas Wawrinka,Alejandro Falla,2,1,56,57,44,31,60,56,40,25,Medium,0.56,57.0,0.44,medium,0.31,0.6,1.0178571428571428,0.8387096774193549,-0.06666666666666667,0.017857142857142856,50.0,1.0178571428571428,0.17914746543778792,0.8387096774193549,1.0,1.0178571428571428,1.0178571428571428,56.0,2.0
72,72,Adrian Mannarino,David Ferrer,2,0,55,44,45,25,68,56,32,18,Medium,0.55,44.0,0.45,medium,0.25,0.68,0.8,0.76,-0.19117647058823528,-0.21428571428571427,50.0,0.8,0.040000000000000036,0.76,1.0,0.8,0.8,55.0,2.0
73,73,Jeremy Chardy,Alexandr Dolgopolov,2,1,60,74,40,30,71,81,29,22,Medium,0.6,74.0,0.4,medium,0.3,0.71,1.2333333333333334,1.4666666666666666,-0.15492957746478872,-0.08641975308641975,50.0,1.2333333333333334,-0.23333333333333317,1.4666666666666666,1.0,1.2333333333333334,1.2333333333333334,60.0,2.0
74,74,Pablo Andujar,Jerzy Janowicz,2,0,79,71,21,20,67,76,33,25,High,0.79,71.0,0.21,low,0.2,0.67,0.8987341772151899,2.55,0.1791044776119403,-0.06578947368421052,50.0,0.8987341772151899,-1.65126582278481,2.55,1.0,0.8987341772151899,0.8987341772151899,79.0,2.0
75,75,Mikhail Youzhny,Florian Mayer,2,0,55,55,45,36,60,59,40,33,Medium,0.55,55.0,0.45,medium,0.36,0.6,1.0,0.5277777777777778,-0.08333333333333333,-0.06779661016949153,50.0,1.0,0.4722222222222222,0.5277777777777778,1.0,1.0,1.0,55.0,2.0
76,76,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,2,1,57,49,43,28,51,46,49,26,Medium,0.57,49.0,0.43,medium,0.28,0.51,0.8596491228070176,0.75,0.11764705882352941,0.06521739130434782,50.0,0.8596491228070176,0.10964912280701755,0.75,1.0,0.8596491228070176,0.8596491228070176,57.0,2.0
77,77,Kevin Anderson,Dominic Thiem,2,1,65,43,35,18,59,34,41,16,Medium,0.65,43.0,0.35,medium,0.18,0.59,0.6615384615384615,1.3888888888888888,0.1016949152542373,0.2647058823529412,50.0,0.6615384615384615,-0.7273504273504273,1.3888888888888888,1.0,0.6615384615384615,0.6615384615384615,65.0,2.0
78,78,Damir Dzumhur,Ivan Dodig,2,0,51,36,49,26,55,39,45,20,Medium,0.51,36.0,0.49,medium,0.26,0.55,0.7058823529411765,0.38461538461538464,-0.07272727272727272,-0.07692307692307693,50.0,0.7058823529411765,0.3212669683257919,0.38461538461538464,1.0,0.7058823529411765,0.7058823529411765,51.0,2.0
79,79,Tomas Berdych,Kenny De Schepper,2,1,64,37,36,15,63,33,37,10,Medium,0.64,37.0,0.36,medium,0.15,0.63,0.578125,1.4666666666666666,0.015873015873015872,0.12121212121212122,50.0,0.578125,-0.8885416666666666,1.4666666666666666,1.0,0.578125,0.578125,64.0,2.0
80,80,Blaz Kavcic,Roger Federer,2,0,62,32,38,18,76,45,24,9,Medium,0.62,32.0,0.38,medium,0.18,0.76,0.5161290322580645,0.7777777777777778,-0.18421052631578946,-0.28888888888888886,50.0,0.5161290322580645,-0.2616487455197133,0.7777777777777778,1.0,0.5161290322580645,0.5161290322580645,62.0,2.0
