,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,BinaryHouseVal
49,49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,NEAR BAY,0
50,50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,NEAR BAY,1
51,51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,NEAR BAY,0
52,52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,NEAR BAY,0
53,53,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,NEAR BAY,0
54,54,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,NEAR BAY,0
55,55,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,NEAR BAY,0
56,56,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,NEAR BAY,0
57,57,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,NEAR BAY,0
58,58,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,NEAR BAY,0
59,59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,NEAR BAY,0
60,60,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,NEAR BAY,0
61,61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,NEAR BAY,0
62,62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,NEAR BAY,0
63,63,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,NEAR BAY,0
64,64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,NEAR BAY,0
65,65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,NEAR BAY,0
66,66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,NEAR BAY,0
67,67,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,NEAR BAY,0
68,68,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,NEAR BAY,0
69,69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,NEAR BAY,0
70,70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,NEAR BAY,0
71,71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,NEAR BAY,0
72,72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,NEAR BAY,0
73,73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,NEAR BAY,0
74,74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,NEAR BAY,0
75,75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,NEAR BAY,1
76,76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,NEAR BAY,0
77,77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,NEAR BAY,0
78,78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,NEAR BAY,0
79,79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,NEAR BAY,0
80,80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,NEAR BAY,1
81,81,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,NEAR BAY,0
82,82,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,NEAR BAY,0
83,83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,NEAR BAY,0
84,84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,NEAR BAY,0
85,85,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,NEAR BAY,0
86,86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,NEAR BAY,0
87,87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,NEAR BAY,1
88,88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,NEAR BAY,0
89,89,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,NEAR BAY,1
90,90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,NEAR BAY,1
91,91,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,NEAR BAY,0
92,92,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,NEAR BAY,1
93,93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,NEAR BAY,1
94,94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,NEAR BAY,1
95,95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,NEAR BAY,0
96,96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,NEAR BAY,1
97,97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,NEAR BAY,0
98,98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,NEAR BAY,1
99,99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,NEAR BAY,1
100,100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,NEAR BAY,1
101,101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,NEAR BAY,1
102,102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,NEAR BAY,1
103,103,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,NEAR BAY,1
104,104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,NEAR BAY,1
105,105,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,NEAR BAY,1
106,106,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,NEAR BAY,1
107,107,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,NEAR BAY,1
108,108,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,NEAR BAY,1
109,109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,NEAR BAY,1
110,110,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,NEAR BAY,1
111,111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,NEAR BAY,1
112,112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,NEAR BAY,1
113,113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,NEAR BAY,1
114,114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,NEAR BAY,1
115,115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,NEAR BAY,1
116,116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,NEAR BAY,1
117,117,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,NEAR BAY,1
118,118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,NEAR BAY,1
119,119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,NEAR BAY,1
120,120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,NEAR BAY,1
121,121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,NEAR BAY,1
122,122,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,NEAR BAY,1
123,123,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,NEAR BAY,1
124,124,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,NEAR BAY,1
125,125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,NEAR BAY,1
126,126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,NEAR BAY,1
127,127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,NEAR BAY,1
128,128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,NEAR BAY,1
129,129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,NEAR BAY,1
130,130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,NEAR BAY,1
131,131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,NEAR BAY,1
132,132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,NEAR BAY,1
133,133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,NEAR BAY,1
134,134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,NEAR BAY,1
135,135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,NEAR BAY,1
136,136,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,NEAR BAY,1
137,137,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,NEAR BAY,1
138,138,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,NEAR BAY,1
139,139,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,NEAR BAY,1
140,140,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,NEAR BAY,1
141,141,-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,NEAR BAY,1
142,142,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,NEAR BAY,1
143,143,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,NEAR BAY,1
144,144,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,NEAR BAY,1
145,145,-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,NEAR BAY,1
146,146,-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,NEAR BAY,1
147,147,-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,NEAR BAY,1
148,148,-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,NEAR BAY,1
149,149,-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,NEAR BAY,1
150,150,-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,NEAR BAY,1
151,151,-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,NEAR BAY,1
152,152,-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,NEAR BAY,1
153,153,-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,NEAR BAY,1
154,154,-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,NEAR BAY,1
155,155,-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,NEAR BAY,1
156,156,-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,NEAR BAY,1
157,157,-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,NEAR BAY,1
158,158,-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,NEAR BAY,1
159,159,-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,NEAR BAY,1
160,160,-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,NEAR BAY,1
161,161,-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,NEAR BAY,1
162,162,-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,NEAR BAY,1
163,163,-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,NEAR BAY,1
164,164,-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,NEAR BAY,1
165,165,-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,NEAR BAY,1
166,166,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,NEAR BAY,1
167,167,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,NEAR BAY,1
168,168,-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,NEAR BAY,0
169,169,-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,NEAR BAY,0
170,170,-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,NEAR BAY,0
171,171,-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,NEAR BAY,0
172,172,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,NEAR BAY,0
173,173,-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,NEAR BAY,1
174,174,-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,NEAR BAY,0
175,175,-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,NEAR BAY,0
176,176,-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,NEAR BAY,0
177,177,-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,NEAR BAY,1
178,178,-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,NEAR BAY,0
179,179,-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,NEAR BAY,0
180,180,-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,NEAR BAY,1
181,181,-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,NEAR BAY,0
182,182,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,NEAR BAY,0
183,183,-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,NEAR BAY,0
184,184,-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,NEAR BAY,0
185,185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,NEAR BAY,0
186,186,-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,NEAR BAY,0
187,187,-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,NEAR BAY,0
188,188,-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,NEAR BAY,0
189,189,-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,NEAR BAY,0
190,190,-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,NEAR BAY,0
191,191,-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,NEAR BAY,0
192,192,-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,NEAR BAY,0
193,193,-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,NEAR BAY,0
194,194,-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,NEAR BAY,0
195,195,-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,NEAR BAY,0
196,196,-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,NEAR BAY,0
197,197,-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,NEAR BAY,0
198,198,-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,NEAR BAY,0
199,199,-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,NEAR BAY,0
200,200,-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,NEAR BAY,0
201,201,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,NEAR BAY,0
202,202,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,NEAR BAY,0
203,203,-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,NEAR BAY,0
204,204,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,NEAR BAY,0
205,205,-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,NEAR BAY,0
206,206,-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,NEAR BAY,0
207,207,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,NEAR BAY,0
208,208,-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,NEAR BAY,0
209,209,-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,NEAR BAY,0
210,210,-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,NEAR BAY,0
211,211,-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,NEAR BAY,1
212,212,-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,NEAR BAY,0
213,213,-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,NEAR BAY,0
214,214,-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,NEAR BAY,0
215,215,-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,NEAR BAY,0
216,216,-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,NEAR BAY,0
217,217,-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,NEAR BAY,0
218,218,-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,NEAR BAY,0
219,219,-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,NEAR BAY,0
220,220,-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,NEAR BAY,1
221,221,-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,NEAR BAY,1
222,222,-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,NEAR BAY,1
223,223,-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,NEAR BAY,1
224,224,-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,NEAR BAY,1
225,225,-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,NEAR BAY,1
226,226,-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,NEAR BAY,1
227,227,-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,NEAR BAY,1
228,228,-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,NEAR BAY,1
229,229,-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,NEAR BAY,1
230,230,-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,NEAR BAY,1
231,231,-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,NEAR BAY,1
232,232,-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,NEAR BAY,1
233,233,-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,NEAR BAY,1
234,234,-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,NEAR BAY,0
235,235,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,NEAR BAY,0
236,236,-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,NEAR BAY,0
237,237,-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,NEAR BAY,0
238,238,-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,NEAR BAY,0
239,239,-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,NEAR BAY,0
240,240,-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,NEAR BAY,0
241,241,-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,NEAR BAY,0
242,242,-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,NEAR BAY,0
243,243,-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,NEAR BAY,0
244,244,-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,NEAR BAY,0
245,245,-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,NEAR BAY,0
246,246,-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,NEAR BAY,0
247,247,-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,NEAR BAY,0
248,248,-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,NEAR BAY,0
249,249,-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,NEAR BAY,0
250,250,-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,NEAR BAY,0
251,251,-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,NEAR BAY,0
252,252,-122.21,37.77,52.0,591.0,173.0,353.0,137.0,4.0904,NEAR BAY,0
253,253,-122.21,37.77,52.0,745.0,153.0,473.0,149.0,2.6765,NEAR BAY,0
254,254,-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,NEAR BAY,0
255,255,-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,NEAR BAY,0
256,256,-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,NEAR BAY,0
257,257,-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039,NEAR BAY,0
258,258,-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,NEAR BAY,0
259,259,-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,NEAR BAY,0
260,260,-122.2,37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398,NEAR BAY,1
261,261,-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,NEAR BAY,0
262,262,-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,NEAR BAY,0
263,263,-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,NEAR BAY,0
264,264,-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125,NEAR BAY,0
265,265,-122.19,37.78,52.0,1026.0,180.0,469.0,168.0,2.875,NEAR BAY,1
266,266,-122.19,37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715,NEAR BAY,0
267,267,-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,NEAR BAY,1
268,268,-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,NEAR BAY,1
269,269,-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,NEAR BAY,1
270,270,-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875,NEAR BAY,1
271,271,-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328,NEAR BAY,1
272,272,-122.19,37.78,52.0,1070.0,193.0,555.0,190.0,3.7262,NEAR BAY,1
273,273,-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,4.5893,NEAR BAY,1
274,274,-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578,NEAR BAY,1
275,275,-122.18,37.79,41.0,1411.0,233.0,626.0,214.0,7.0875,NEAR BAY,1
276,276,-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,NEAR BAY,1
277,277,-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514,NEAR BAY,1
278,278,-122.19,37.79,50.0,954.0,217.0,546.0,201.0,2.6667,NEAR BAY,1
279,279,-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446,NEAR BAY,1
280,280,-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,6.2838,NEAR BAY,1
281,281,-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527,NEAR BAY,1
